NO ,DRIVER ,ENTRANT ,LAP,TIME OF DAY,S,T  OP,"",DURATION ,TOTAL TIME
98 ,R. MERHI ,Manor Marussia F1 Team ,6 ,14:15:43 ,"",1 ,"",26.392 ,26.392
77 ,V. BOTTAS ,Williams Martini Racing ,13 ,14:25:47 ,"",1 ,"",22.974 ,22.974
26 ,D. KVYAT ,Infiniti Red Bull Racing ,13 ,14:25:51 ,"",1 ,"",22.072 ,22.072
19 ,F. MASSA ,Williams Martini Racing ,14 ,14:27:28 ,"",1 ,"",27.936 ,27.936
33 ,M. VERSTAPPEN ,Scuderia Toro Rosso ,14 ,14:27:30 ,"",1 ,"",22.536 ,22.536
22 ,J. BUTTON ,McLaren Honda ,14 ,14:27:33 ,"",1 ,"",22.231 ,22.231
8 ,R. GROSJEAN ,Lotus F1 Team ,14 ,14:27:34 ,"",1 ,"",22.805 ,22.805
12 ,F. NASR ,Sauber F1 Team ,14 ,14:27:41 ,"",1 ,"",22.729 ,22.729
27 ,N. HULKENBERG ,Sahara Force India F1 Team ,15 ,14:28:49 ,"",1 ,"",22.573 ,22.573
55 ,C. SAINZ ,Scuderia Toro Rosso ,15 ,14:28:58 ,"",1 ,"",25.096 ,25.096
14 ,F. ALONSO ,McLaren Honda ,15 ,14:29:00 ,"",1 ,"",21.567 ,21.567
11 ,S. PEREZ ,Sahara Force India F1 Team ,16 ,14:30:25 ,"",1 ,"",22.068 ,22.068
9 ,M. ERICSSON ,Sauber F1 Team ,16 ,14:30:36 ,"",1 ,"",23.005 ,23.005
44 ,L. HAMILTON ,Mercedes AMG Petronas F1 Team ,19 ,14:34:42 ,"",1 ,"",23.146 ,23.146
6 ,N. ROSBERG ,Mercedes AMG Petronas F1 Team ,20 ,14:35:52 ,"",1 ,"",21.780 ,21.780
5 ,S. VETTEL ,Scuderia Ferrari ,21 ,14:37:10 ,"",1 ,"",21.900 ,21.900
3 ,D. RICCIARDO ,Infiniti Red Bull Racing ,21 ,14:37:37 ,"",1 ,"",21.824 ,21.824
7 ,K. RAIKKONEN ,Scuderia Ferrari ,22 ,14:38:42 ,"",1 ,"",22.566 ,22.566
13 ,P. MALDONADO ,Lotus F1 Team ,24 ,14:42:53 ,"",1 ,"",16.444 ,16.444
13 ,P. MALDONADO ,Lotus F1 Team ,25 ,14:44:40 ,"",2 ,"",22.812 ,39.256
28 ,W. STEVENS ,Manor Marussia F1 Team ,26 ,14:46:47 ,"",1 ,"",23.051 ,23.051
19 ,F. MASSA ,Williams Martini Racing ,29 ,14:50:32 ,"",2 ,"",21.915 ,49.851
11 ,S. PEREZ ,Sahara Force India F1 Team ,30 ,14:51:57 ,"",2 ,"",22.409 ,44.477
98 ,R. MERHI ,Manor Marussia F1 Team ,30 ,14:53:11 ,"",2 ,"",23.125 ,49.517
12 ,F. NASR ,Sauber F1 Team ,32 ,14:55:00 ,"",2 ,"",22.907 ,45.636
26 ,D. KVYAT ,Infiniti Red Bull Racing ,33 ,14:56:04 ,"",2 ,"",21.574 ,43.646
9 ,M. ERICSSON ,Sauber F1 Team ,33 ,14:56:29 ,"",2 ,"",22.199 ,45.204
NO ,DRIVER ,ENTRANT ,LAP,TIME OF DAY,S,T  OP,"",DURATION ,TOTAL TIME
8 ,R. GROSJEAN ,Lotus F1 Team ,34 ,14:57:48 ,"",2 ,"",28.707 ,51.512
22 ,J. BUTTON ,McLaren Honda ,35 ,14:59:17 ,"",2 ,"",21.753 ,43.984
27 ,N. HULKENBERG ,Sahara Force India F1 Team ,36 ,15:00:25 ,"",2 ,"",22.222 ,44.795
14 ,F. ALONSO ,McLaren Honda ,36 ,15:00:39 ,"",2 ,"",22.300 ,43.867
55 ,C. SAINZ ,Scuderia Toro Rosso ,36 ,15:00:44 ,"",2 ,"",22.930 ,48.026
33 ,M. VERSTAPPEN ,Scuderia Toro Rosso ,37 ,15:02:04 ,"",2 ,"",23.431 ,45.967
77 ,V. BOTTAS ,Williams Martini Racing ,38 ,15:03:21 ,"",2 ,"",21.867 ,44.841
6 ,N. ROSBERG ,Mercedes AMG Petronas F1 Team ,42 ,15:08:45 ,"",2 ,"",22.013 ,43.793
11 ,S. PEREZ ,Sahara Force India F1 Team ,41 ,15:08:53 ,"",3 ,"",22.574 ,1:07.051
44 ,L. HAMILTON ,Mercedes AMG Petronas F1 Team ,42 ,15:08:57 ,"",2 ,"",24.272 ,47.418
13 ,P. MALDONADO ,Lotus F1 Team ,41 ,15:08:57 ,"",3 ,"",24.972 ,1:04.228
9 ,M. ERICSSON ,Sauber F1 Team ,41 ,15:09:02 ,"",3 ,"",22.747 ,1:07.951
3 ,D. RICCIARDO ,Infiniti Red Bull Racing ,42 ,15:09:07 ,"",2 ,"",22.008 ,43.832
5 ,S. VETTEL ,Scuderia Ferrari ,43 ,15:10:02 ,"",2 ,"",22.028 ,43.928
