SECTOR 1 ,SECTOR 2 ,SECTOR 3
NO ,DRIVER ,TIME
44 ,L. HAMILTON ,29.153
6 ,N. ROSBERG ,29.207
5 ,S. VETTEL ,29.323
19 ,F. MASSA ,29.349
7 ,K. RAIKKONEN ,29.391
77 ,V. BOTTAS ,29.442
3 ,D. RICCIARDO ,29.442
27 ,N. HULKENBERG ,29.501
13 ,P. MALDONADO ,29.524
26 ,D. KVYAT ,29.537
55 ,C. SAINZ ,29.565
33 ,M. VERSTAPPEN ,29.576
8 ,R. GROSJEAN ,29.663
11 ,S. PEREZ ,29.733
12 ,F. NASR ,29.886
9 ,M. ERICSSON ,29.917
14 ,F. ALONSO ,29.998
22 ,J. BUTTON ,30.130
28 ,W. STEVENS ,30.794
98 ,R. MERHI ,30.874
NO ,DRIVER ,TIME
44 ,L. HAMILTON ,29.818
5 ,S. VETTEL ,29.862
3 ,D. RICCIARDO ,29.976
6 ,N. ROSBERG ,30.057
7 ,K. RAIKKONEN ,30.272
8 ,R. GROSJEAN ,30.273
77 ,V. BOTTAS ,30.279
26 ,D. KVYAT ,30.301
33 ,M. VERSTAPPEN ,30.319
19 ,F. MASSA ,30.474
13 ,P. MALDONADO ,30.520
55 ,C. SAINZ ,30.530
27 ,N. HULKENBERG ,30.609
14 ,F. ALONSO ,30.620
22 ,J. BUTTON ,30.775
11 ,S. PEREZ ,30.801
9 ,M. ERICSSON ,30.995
12 ,F. NASR ,31.124
98 ,R. MERHI ,31.977
28 ,W. STEVENS ,32.302
NO ,DRIVER ,TIME
44 ,L. HAMILTON ,23.016
6 ,N. ROSBERG ,23.137
7 ,K. RAIKKONEN ,23.308
3 ,D. RICCIARDO ,23.356
5 ,S. VETTEL ,23.438
77 ,V. BOTTAS ,23.464
26 ,D. KVYAT ,23.481
19 ,F. MASSA ,23.612
33 ,M. VERSTAPPEN ,23.634
22 ,J. BUTTON ,23.653
14 ,F. ALONSO ,23.673
27 ,N. HULKENBERG ,23.716
8 ,R. GROSJEAN ,23.768
55 ,C. SAINZ ,23.774
13 ,P. MALDONADO ,23.830
11 ,S. PEREZ ,23.850
9 ,M. ERICSSON ,23.931
12 ,F. NASR ,23.967
98 ,R. MERHI ,24.565
28 ,W. STEVENS ,24.622
