INTERMEDIATE 1 ,INTERMEDIATE 2 ,FINISH LINE
NO ,DRIVER ,KPH
26 ,D. KVYAT ,345.0
33 ,M. VERSTAPPEN ,343.6
19 ,F. MASSA ,343.6
77 ,V. BOTTAS ,338.9
7 ,K. RAIKKONEN ,338.5
3 ,D. RICCIARDO ,338.1
8 ,R. GROSJEAN ,336.4
11 ,S. PEREZ ,334.2
55 ,C. SAINZ ,333.9
12 ,F. NASR ,328.3
13 ,P. MALDONADO ,325.7
6 ,N. ROSBERG ,325.5
5 ,S. VETTEL ,325.0
44 ,L. HAMILTON ,323.3
9 ,M. ERICSSON ,320.7
14 ,F. ALONSO ,318.1
22 ,J. BUTTON ,317.2
28 ,W. STEVENS ,303.9
98 ,R. MERHI ,303.6
NO ,DRIVER ,KPH
19 ,F. MASSA ,195.0
12 ,F. NASR ,192.9
33 ,M. VERSTAPPEN ,192.2
6 ,N. ROSBERG ,191.8
26 ,D. KVYAT ,191.6
14 ,F. ALONSO ,191.1
44 ,L. HAMILTON ,191.1
9 ,M. ERICSSON ,189.6
77 ,V. BOTTAS ,189.1
8 ,R. GROSJEAN ,188.5
22 ,J. BUTTON ,188.5
28 ,W. STEVENS ,188.0
11 ,S. PEREZ ,187.9
7 ,K. RAIKKONEN ,185.0
55 ,C. SAINZ ,185.0
5 ,S. VETTEL ,184.4
13 ,P. MALDONADO ,183.2
3 ,D. RICCIARDO ,183.1
98 ,R. MERHI ,182.3
NO ,DRIVER ,KPH
14 ,F. ALONSO ,221.3
77 ,V. BOTTAS ,219.1
9 ,M. ERICSSON ,219.0
44 ,L. HAMILTON ,218.9
19 ,F. MASSA ,217.3
6 ,N. ROSBERG ,216.9
11 ,S. PEREZ ,216.5
5 ,S. VETTEL ,216.4
12 ,F. NASR ,216.0
33 ,M. VERSTAPPEN ,216.0
8 ,R. GROSJEAN ,214.7
7 ,K. RAIKKONEN ,214.6
26 ,D. KVYAT ,214.5
55 ,C. SAINZ ,213.0
28 ,W. STEVENS ,212.9
3 ,D. RICCIARDO ,211.1
22 ,J. BUTTON ,209.7
98 ,R. MERHI ,209.5
13 ,P. MALDONADO ,208.8
