NO ,DRIVER ,ENTRANT ,LAP,TIME OF DAY,S,T  OP,"",DURATION ,TOTAL TIME
3 ,D. RICCIARDO ,Infiniti Red Bull Racing ,7 ,14:20:39 ,"",1 ,"",22.637 ,22.637
55 ,C. SAINZ ,Scuderia Toro Rosso ,5 ,14:20:58 ,"",1 ,"",23.732 ,23.732
11 ,S. PEREZ ,Sahara Force India F1 Team ,8 ,14:22:36 ,"",1 ,"",23.562 ,23.562
77 ,V. BOTTAS ,Williams Martini Racing ,8 ,14:22:46 ,"",1 ,"",23.319 ,23.319
14 ,F. ALONSO ,McLaren Honda ,8 ,14:23:03 ,"",1 ,"",22.973 ,22.973
8 ,R. GROSJEAN ,Lotus F1 Team ,9 ,14:24:43 ,"",1 ,"",23.717 ,23.717
26 ,D. KVYAT ,Infiniti Red Bull Racing ,9 ,14:24:46 ,"",1 ,"",22.796 ,22.796
19 ,F. MASSA ,Williams Martini Racing ,9 ,14:24:47 ,"",1 ,"",23.282 ,23.282
33 ,M. VERSTAPPEN ,Scuderia Toro Rosso ,9 ,14:24:48 ,"",1 ,"",24.564 ,24.564
9 ,M. ERICSSON ,Sauber F1 Team ,9 ,14:24:54 ,"",1 ,"",24.183 ,24.183
12 ,F. NASR ,Sauber F1 Team ,10 ,14:27:06 ,"",1 ,"",23.439 ,23.439
7 ,K. RAIKKONEN ,Scuderia Ferrari ,11 ,14:28:44 ,"",1 ,"",22.578 ,22.578
22 ,J. BUTTON ,McLaren Honda ,11 ,14:29:15 ,"",1 ,"",24.083 ,24.083
6 ,N. ROSBERG ,Mercedes AMG Petronas F1 Team ,12 ,14:30:22 ,"",1 ,"",22.997 ,22.997
44 ,L. HAMILTON ,Mercedes AMG Petronas F1 Team ,13 ,14:32:13 ,"",1 ,"",22.403 ,22.403
5 ,S. VETTEL ,Scuderia Ferrari ,14 ,14:34:26 ,"",1 ,"",22.681 ,22.681
77 ,V. BOTTAS ,Williams Martini Racing ,15 ,14:36:40 ,"",2 ,"",17.343 ,40.662
98 ,R. MERHI ,Manor Marussia F1 Team ,15 ,14:37:29 ,"",1 ,"",23.643 ,23.643
28 ,W. STEVENS ,Manor Marussia F1 Team ,16 ,14:39:34 ,"",1 ,"",23.826 ,23.826
11 ,S. PEREZ ,Sahara Force India F1 Team ,20 ,14:46:18 ,"",2 ,"",22.918 ,46.480
14 ,F. ALONSO ,McLaren Honda ,20 ,14:47:07 ,"",2 ,"",26.103 ,49.076
22 ,J. BUTTON ,McLaren Honda ,20 ,14:47:33 ,"",2 ,"",24.151 ,48.234
8 ,R. GROSJEAN ,Lotus F1 Team ,21 ,14:48:35 ,"",2 ,"",23.493 ,47.210
19 ,F. MASSA ,Williams Martini Racing ,21 ,14:48:52 ,"",2 ,"",23.655 ,46.937
7 ,K. RAIKKONEN ,Scuderia Ferrari ,21 ,14:48:53 ,"",2 ,"",23.143 ,45.721
33 ,M. VERSTAPPEN ,Scuderia Toro Rosso ,21 ,14:48:54 ,"",2 ,"",23.041 ,47.605
77 ,V. BOTTAS ,Williams Martini Racing ,21 ,14:49:04 ,"",3 ,"",23.489 ,1:04.151
NO ,DRIVER ,ENTRANT ,LAP,TIME OF DAY,S,T  OP,"",DURATION ,TOTAL TIME
55 ,C. SAINZ ,Scuderia Toro Rosso ,23 ,14:57:07 ,"",2 ,"",23.348 ,47.080
26 ,D. KVYAT ,Infiniti Red Bull Racing ,27 ,15:00:37 ,"",2 ,"",22.563 ,45.359
12 ,F. NASR ,Sauber F1 Team ,27 ,15:01:15 ,"",2 ,"",23.288 ,46.727
9 ,M. ERICSSON ,Sauber F1 Team ,28 ,15:03:02 ,"",2 ,"",23.684 ,47.867
44 ,L. HAMILTON ,Mercedes AMG Petronas F1 Team ,30 ,15:05:42 ,"",2 ,"",22.955 ,45.358
98 ,R. MERHI ,Manor Marussia F1 Team ,29 ,15:06:14 ,"",2 ,"",23.282 ,46.925
6 ,N. ROSBERG ,Mercedes AMG Petronas F1 Team ,31 ,15:07:43 ,"",2 ,"",22.765 ,45.762
28 ,W. STEVENS ,Manor Marussia F1 Team ,30 ,15:08:20 ,"",2 ,"",24.450 ,48.276
33 ,M. VERSTAPPEN ,Scuderia Toro Rosso ,32 ,15:10:22 ,"",3 ,"",22.942 ,1:10.547
14 ,F. ALONSO ,McLaren Honda ,32 ,15:11:10 ,"",3 ,"",23.191 ,1:12.267
22 ,J. BUTTON ,McLaren Honda ,35 ,15:17:42 ,"",3 ,"",23.761 ,1:11.995
