POS,NO ,DRIVER ,NAT ,ENTRANT ,TIME,ON,GAP ,"",KPH,TIME OF DAY
1 ,6 ,N. ROSBERG ,GER ,Mercedes AMG Petronas F1 Team ,1:52.416 ,34 ,"","",224.295 ,15:13:38
2 ,44 ,L. HAMILTON ,GBR ,Mercedes AMG Petronas F1 Team ,1:52.504 ,34 ,0.088 ,"",224.120 ,15:13:33
"","","","","","","","",0.528,"",""
3 ,26 ,D. KVYAT ,RUS ,Infiniti Red Bull Racing ,1:53.032 ,29 ,0.616 ,0.244,223.073 ,15:04:41
4 ,33 ,M. VERSTAPPEN ,NED ,Scuderia Toro Rosso ,1:53.276 ,36 ,0.860 ,0.416,222.592 ,15:18:12
5 ,14 ,F. ALONSO ,ESP ,McLaren Honda ,1:53.692 ,34 ,1.276 ,0.299,221.778 ,15:15:19
6 ,12 ,F. NASR ,BRA ,Sauber F1 Team ,1:53.991 ,29 ,1.575 ,"",221.196 ,15:05:20
"","","","","","","","",0.031,"",""
7 ,9 ,M. ERICSSON ,SWE ,Sauber F1 Team ,1:54.022 ,30 ,1.606 ,0.071,221.136 ,15:07:11
8 ,19 ,F. MASSA ,BRA ,Williams Martini Racing ,1:54.093 ,23 ,1.677 ,0.424,220.998 ,14:52:59
9 ,7 ,K. RAIKKONEN ,FIN ,Scuderia Ferrari ,1:54.517 ,30 ,2.101 ,0.129,220.180 ,15:06:26
10 ,77 ,V. BOTTAS ,FIN ,Williams Martini Racing ,1:54.646 ,23 ,2.230 ,0.034,219.932 ,14:53:12
11 ,55 ,C. SAINZ ,ESP ,Scuderia Toro Rosso ,1:54.680 ,25 ,2.264 ,0.099,219.867 ,15:01:15
12 ,8 ,R. GROSJEAN ,FRA ,Lotus F1 Team ,1:54.779 ,37 ,2.363 ,0.017,219.677 ,15:19:40
13 ,11 ,S. PEREZ ,MEX ,Sahara Force India F1 Team ,1:54.796 ,29 ,2.380 ,"",219.645 ,15:04:27
"","","","","","","","",0.520,"",""
14 ,5 ,S. VETTEL ,GER ,Scuderia Ferrari ,1:55.316 ,29 ,2.900 ,0.217,218.654 ,15:04:15
15 ,22 ,J. BUTTON ,GBR ,McLaren Honda ,1:55.533 ,38 ,3.117 ,"",218.244 ,15:23:48
"","","","","","","","",0.730,"",""
16 ,3 ,D. RICCIARDO ,AUS ,Infiniti Red Bull Racing ,1:56.263 ,2 ,3.847 ,"",216.873 ,14:10:55
"","","","","","","","",1.887,"",""
17 ,28 ,W. STEVENS ,GBR ,Manor Marussia F1 Team ,1:58.150 ,33 ,5.734 ,0.024,213.410 ,15:14:36
18 ,98 ,R. MERHI ,ESP ,Manor Marussia F1 Team ,1:58.174 ,32 ,5.758 ,"",213.366 ,15:12:29
