POS,NO ,DRIVER ,NAT ,ENTRANT ,TIME,ON,GAP ,"",KPH,TIME OF DAY
1 ,44 ,L. HAMILTON ,GBR ,Mercedes AMG Petronas F1 Team ,1:26.672 ,48 ,"","",240.617 ,15:14:03
2 ,6 ,N. ROSBERG ,GER ,Mercedes AMG Petronas F1 Team ,1:27.067 ,43 ,0.395 ,0.309,239.525 ,15:07:12
3 ,5 ,S. VETTEL ,GER ,Scuderia Ferrari ,1:27.376 ,52 ,0.704 ,0.014,238.678 ,15:20:17
4 ,33 ,M. VERSTAPPEN ,NED ,Scuderia Toro Rosso ,1:27.390 ,35 ,0.718 ,0.120,238.640 ,14:56:53
5 ,55 ,C. SAINZ ,ESP ,Scuderia Toro Rosso ,1:27.510 ,38 ,0.838 ,0.015,238.313 ,15:01:01
6 ,77 ,V. BOTTAS ,FIN ,Williams Martini Racing ,1:27.525 ,49 ,0.853 ,0.059,238.272 ,15:16:14
7 ,7 ,K. RAIKKONEN ,FIN ,Scuderia Ferrari ,1:27.584 ,43 ,0.912 ,0.290,238.111 ,15:07:47
8 ,19 ,F. MASSA ,BRA ,Williams Martini Racing ,1:27.874 ,31 ,1.202 ,"",237.326 ,14:49:45
"","","","","","","","",0.191,"",""
9 ,3 ,D. RICCIARDO ,AUS ,Infiniti Red Bull Racing ,1:28.065 ,50 ,1.393 ,0.075,236.811 ,15:18:27
10 ,11 ,S. PEREZ ,MEX ,Sahara Force India F1 Team ,1:28.140 ,46 ,1.468 ,0.091,236.609 ,15:12:10
11 ,26 ,D. KVYAT ,RUS ,Infiniti Red Bull Racing ,1:28.231 ,39 ,1.559 ,0.285,236.365 ,15:02:18
12 ,9 ,M. ERICSSON ,SWE ,Sauber F1 Team ,1:28.516 ,22 ,1.844 ,0.137,235.604 ,14:36:48
13 ,12 ,F. NASR ,BRA ,Sauber F1 Team ,1:28.653 ,51 ,1.981 ,0.260,235.240 ,15:20:42
14 ,27 ,N. HULKENBERG ,GER ,Sahara Force India F1 Team ,1:28.913 ,36 ,2.241 ,"",234.552 ,14:57:35
"","","","","","","","",0.372,"",""
15 ,14 ,F. ALONSO ,ESP ,McLaren Honda ,1:29.285 ,42 ,2.613 ,0.481,233.575 ,15:07:35
16 ,22 ,J. BUTTON ,GBR ,McLaren Honda ,1:29.766 ,33 ,3.094 ,"",232.324 ,14:53:57
"","","","","","","","",1.332,"",""
17 ,28 ,W. STEVENS ,GBR ,Manor Marussia F1 Team ,1:31.098 ,51 ,4.426 ,0.213,228.927 ,15:22:23
18 ,98 ,R. MERHI ,ESP ,Manor Marussia F1 Team ,1:31.311 ,29 ,4.639 ,"",228.393 ,14:48:50
