SECTOR 1 ,SECTOR 2 ,SECTOR 3
NO ,DRIVER ,TIME
19 ,F. MASSA ,26.922
44 ,L. HAMILTON ,26.973
7 ,K. RAIKKONEN ,27.014
6 ,N. ROSBERG ,27.063
5 ,S. VETTEL ,27.067
11 ,S. PEREZ ,27.101
77 ,V. BOTTAS ,27.115
13 ,P. MALDONADO ,27.116
9 ,M. ERICSSON ,27.211
27 ,N. HULKENBERG ,27.236
8 ,R. GROSJEAN ,27.268
12 ,F. NASR ,27.405
55 ,C. SAINZ ,27.633
3 ,D. RICCIARDO ,27.774
26 ,D. KVYAT ,27.799
14 ,F. ALONSO ,27.807
22 ,J. BUTTON ,27.850
28 ,W. STEVENS ,28.332
98 ,R. MERHI ,28.404
NO ,DRIVER ,TIME
44 ,L. HAMILTON ,28.467
5 ,S. VETTEL ,28.474
7 ,K. RAIKKONEN ,28.564
6 ,N. ROSBERG ,28.674
77 ,V. BOTTAS ,28.710
19 ,F. MASSA ,28.768
8 ,R. GROSJEAN ,28.851
27 ,N. HULKENBERG ,28.904
13 ,P. MALDONADO ,28.925
12 ,F. NASR ,28.973
9 ,M. ERICSSON ,28.985
11 ,S. PEREZ ,28.989
3 ,D. RICCIARDO ,29.146
55 ,C. SAINZ ,29.163
26 ,D. KVYAT ,29.187
22 ,J. BUTTON ,29.336
14 ,F. ALONSO ,29.489
28 ,W. STEVENS ,29.836
98 ,R. MERHI ,29.949
33 ,M. VERSTAPPEN ,58.588
NO ,DRIVER ,TIME
44 ,L. HAMILTON ,27.816
5 ,S. VETTEL ,27.966
6 ,N. ROSBERG ,27.966
7 ,K. RAIKKONEN ,28.009
19 ,F. MASSA ,28.191
8 ,R. GROSJEAN ,28.226
77 ,V. BOTTAS ,28.241
9 ,M. ERICSSON ,28.261
13 ,P. MALDONADO ,28.287
11 ,S. PEREZ ,28.289
27 ,N. HULKENBERG ,28.370
12 ,F. NASR ,28.396
55 ,C. SAINZ ,28.573
3 ,D. RICCIARDO ,28.713
26 ,D. KVYAT ,28.714
14 ,F. ALONSO ,28.801
22 ,J. BUTTON ,28.872
98 ,R. MERHI ,29.559
28 ,W. STEVENS ,29.563
