SECTOR 1 ,SECTOR 2 ,SECTOR 3
NO ,DRIVER ,TIME
5 ,S. VETTEL ,29.211
7 ,K. RAIKKONEN ,29.250
6 ,N. ROSBERG ,29.374
3 ,D. RICCIARDO ,29.410
13 ,P. MALDONADO ,29.427
77 ,V. BOTTAS ,29.450
11 ,S. PEREZ ,29.456
55 ,C. SAINZ ,29.463
26 ,D. KVYAT ,29.628
9 ,M. ERICSSON ,29.654
44 ,L. HAMILTON ,29.666
22 ,J. BUTTON ,29.696
8 ,R. GROSJEAN ,29.764
33 ,M. VERSTAPPEN ,29.789
12 ,F. NASR ,29.791
19 ,F. MASSA ,29.901
27 ,N. HULKENBERG ,30.011
14 ,F. ALONSO ,30.135
53 ,A. ROSSI ,30.616
28 ,W. STEVENS ,30.758
NO ,DRIVER ,TIME
55 ,C. SAINZ ,42.251
3 ,D. RICCIARDO ,42.257
13 ,P. MALDONADO ,42.270
33 ,M. VERSTAPPEN ,42.271
5 ,S. VETTEL ,42.391
7 ,K. RAIKKONEN ,42.554
26 ,D. KVYAT ,42.612
22 ,J. BUTTON ,42.752
6 ,N. ROSBERG ,42.770
27 ,N. HULKENBERG ,42.845
77 ,V. BOTTAS ,42.890
11 ,S. PEREZ ,42.962
9 ,M. ERICSSON ,42.973
12 ,F. NASR ,43.193
44 ,L. HAMILTON ,43.196
8 ,R. GROSJEAN ,43.234
14 ,F. ALONSO ,43.500
19 ,F. MASSA ,43.767
28 ,W. STEVENS ,44.428
53 ,A. ROSSI ,44.548
NO ,DRIVER ,TIME
33 ,M. VERSTAPPEN ,38.188
5 ,S. VETTEL ,38.244
3 ,D. RICCIARDO ,38.298
55 ,C. SAINZ ,38.376
22 ,J. BUTTON ,38.440
13 ,P. MALDONADO ,38.458
26 ,D. KVYAT ,38.533
7 ,K. RAIKKONEN ,38.537
6 ,N. ROSBERG ,38.691
9 ,M. ERICSSON ,38.700
77 ,V. BOTTAS ,38.902
8 ,R. GROSJEAN ,39.150
27 ,N. HULKENBERG ,39.167
12 ,F. NASR ,39.200
11 ,S. PEREZ ,39.256
44 ,L. HAMILTON ,39.350
14 ,F. ALONSO ,39.644
19 ,F. MASSA ,39.704
53 ,A. ROSSI ,39.917
28 ,W. STEVENS ,40.494
