POS,NO ,DRIVER ,NAT ,ENTRANT ,TIME,ON,GAP ,"",KPH,TIME OF DAY
1 ,3 ,D. RICCIARDO ,AUS ,Infiniti Red Bull Racing ,1:50.041 ,52 ,"","",165.701 ,21:48:20
2 ,5 ,S. VETTEL ,GER ,Scuderia Ferrari ,1:50.069 ,53 ,0.028 ,0.106,165.659 ,21:50:07
3 ,13 ,P. MALDONADO ,VEN ,Lotus F1 Team ,1:50.175 ,57 ,0.134 ,0.123,165.500 ,21:59:09
4 ,33 ,M. VERSTAPPEN ,NED ,Scuderia Toro Rosso ,1:50.298 ,43 ,0.257 ,0.043,165.315 ,21:32:00
5 ,7 ,K. RAIKKONEN ,FIN ,Scuderia Ferrari ,1:50.341 ,48 ,0.300 ,0.060,165.251 ,21:41:03
6 ,55 ,C. SAINZ ,ESP ,Scuderia Toro Rosso ,1:50.401 ,43 ,0.360 ,0.533,165.161 ,21:32:02
7 ,6 ,N. ROSBERG ,GER ,Mercedes AMG Petronas F1 Team ,1:50.934 ,50 ,0.893 ,"",164.368 ,21:44:49
"","","","","","","","",0.175,"",""
8 ,26 ,D. KVYAT ,RUS ,Infiniti Red Bull Racing ,1:51.109 ,36 ,1.068 ,0.058,164.109 ,21:16:17
9 ,22 ,J. BUTTON ,GBR ,McLaren Honda ,1:51.167 ,43 ,1.126 ,0.175,164.023 ,21:32:35
10 ,77 ,V. BOTTAS ,FIN ,Williams Martini Racing ,1:51.342 ,49 ,1.301 ,0.252,163.765 ,21:43:01
11 ,9 ,M. ERICSSON ,SWE ,Sauber F1 Team ,1:51.594 ,30 ,1.553 ,0.376,163.395 ,21:05:22
12 ,11 ,S. PEREZ ,MEX ,Sahara Force India F1 Team ,1:51.970 ,44 ,1.929 ,"",162.847 ,21:33:46
"","","","","","","","",0.383,"",""
13 ,8 ,R. GROSJEAN ,FRA ,Lotus F1 Team ,1:52.353 ,28 ,2.312 ,0.152,162.292 ,21:01:24
14 ,44 ,L. HAMILTON ,GBR ,Mercedes AMG Petronas F1 Team ,1:52.505 ,24 ,2.464 ,0.061,162.072 ,20:53:11
15 ,12 ,F. NASR ,BRA ,Sauber F1 Team ,1:52.566 ,36 ,2.525 ,"",161.984 ,21:16:37
"","","","","","","","",0.759,"",""
16 ,14 ,F. ALONSO ,ESP ,McLaren Honda ,1:53.325 ,27 ,3.284 ,0.341,160.900 ,20:59:07
17 ,19 ,F. MASSA ,BRA ,Williams Martini Racing ,1:53.666 ,19 ,3.625 ,0.202,160.417 ,20:43:56
18 ,27 ,N. HULKENBERG ,GER ,Sahara Force India F1 Team ,1:53.868 ,6 ,3.827 ,"",160.132 ,20:15:06
"","","","","","","","",1.444,"",""
19 ,53 ,A. ROSSI ,USA ,Manor Marussia F1 Team ,1:55.312 ,43 ,5.271 ,0.578,158.127 ,21:34:06
20 ,28 ,W. STEVENS ,GBR ,Manor Marussia F1 Team ,1:55.890 ,45 ,5.849 ,"",157.338 ,21:38:01
