NO ,DRIVER ,ENTRANT ,LAP,TIME OF DAY,S,T  OP,"",DURATION ,TOTAL TIME
8 ,R. GROSJEAN ,Lotus F1 Team ,9 ,20:20:55 ,"",1 ,"",30.640 ,30.640
14 ,F. ALONSO ,McLaren Honda ,10 ,20:22:46 ,"",1 ,"",34.237 ,34.237
55 ,C. SAINZ ,Scuderia Toro Rosso ,10 ,20:22:46 ,"",1 ,"",34.970 ,34.970
9 ,M. ERICSSON ,Sauber F1 Team ,10 ,20:22:52 ,"",1 ,"",29.589 ,29.589
13 ,P. MALDONADO ,Lotus F1 Team ,10 ,20:22:55 ,"",1 ,"",29.762 ,29.762
27 ,N. HULKENBERG ,Sahara Force India F1 Team ,11 ,20:24:36 ,"",1 ,"",30.868 ,30.868
26 ,D. KVYAT ,Infiniti Red Bull Racing ,12 ,20:26:14 ,"",1 ,"",29.159 ,29.159
19 ,F. MASSA ,Williams Martini Racing ,12 ,20:26:28 ,"",1 ,"",31.380 ,31.380
5 ,S. VETTEL ,Scuderia Ferrari ,13 ,20:28:04 ,"",1 ,"",29.172 ,29.172
3 ,D. RICCIARDO ,Infiniti Red Bull Racing ,13 ,20:28:10 ,"",1 ,"",31.307 ,31.307
7 ,K. RAIKKONEN ,Scuderia Ferrari ,13 ,20:28:15 ,"",1 ,"",30.031 ,30.031
44 ,L. HAMILTON ,Mercedes AMG Petronas F1 Team ,13 ,20:28:21 ,"",1 ,"",28.917 ,28.917
6 ,N. ROSBERG ,Mercedes AMG Petronas F1 Team ,13 ,20:28:30 ,"",1 ,"",30.562 ,30.562
77 ,V. BOTTAS ,Williams Martini Racing ,13 ,20:28:34 ,"",1 ,"",29.260 ,29.260
11 ,S. PEREZ ,Sahara Force India F1 Team ,13 ,20:28:45 ,"",1 ,"",29.732 ,29.732
12 ,F. NASR ,Sauber F1 Team ,13 ,20:28:53 ,"",1 ,"",29.679 ,29.679
22 ,J. BUTTON ,McLaren Honda ,13 ,20:28:57 ,"",1 ,"",1:05.317 ,1:05.317
33 ,M. VERSTAPPEN ,Scuderia Toro Rosso ,12 ,20:29:01 ,"",1 ,"",31.207 ,31.207
53 ,A. ROSSI ,Manor Marussia F1 Team ,13 ,20:29:50 ,"",1 ,"",31.180 ,31.180
19 ,F. MASSA ,Williams Martini Racing ,14 ,20:31:49 ,"",2 ,"",29.907 ,1:01.287
28 ,W. STEVENS ,Manor Marussia F1 Team ,14 ,20:32:23 ,"",1 ,"",30.398 ,30.398
8 ,R. GROSJEAN ,Lotus F1 Team ,26 ,20:57:10 ,"",2 ,"",29.826 ,1:00.466
13 ,P. MALDONADO ,Lotus F1 Team ,27 ,20:59:08 ,"",2 ,"",29.223 ,58.985
9 ,M. ERICSSON ,Sauber F1 Team ,28 ,21:01:10 ,"",2 ,"",29.857 ,59.446
55 ,C. SAINZ ,Scuderia Toro Rosso ,28 ,21:01:11 ,"",2 ,"",29.742 ,1:04.712
19 ,F. MASSA ,Williams Martini Racing ,29 ,21:03:13 ,"",3 ,"",24.415 ,1:25.702
26 ,D. KVYAT ,Infiniti Red Bull Racing ,33 ,21:10:11 ,"",2 ,"",32.924 ,1:02.083
NO ,DRIVER ,ENTRANT ,LAP,TIME OF DAY,S,T  OP,"",DURATION ,TOTAL TIME
11 ,S. PEREZ ,Sahara Force India F1 Team ,34 ,21:12:15 ,"",2 ,"",29.676 ,59.408
12 ,F. NASR ,Sauber F1 Team ,34 ,21:12:23 ,"",2 ,"",29.917 ,59.596
33 ,M. VERSTAPPEN ,Scuderia Toro Rosso ,36 ,21:16:29 ,"",2 ,"",30.844 ,1:02.051
9 ,M. ERICSSON ,Sauber F1 Team ,36 ,21:16:40 ,"",3 ,"",29.398 ,1:28.844
5 ,S. VETTEL ,Scuderia Ferrari ,37 ,21:17:26 ,"",2 ,"",29.273 ,58.445
3 ,D. RICCIARDO ,Infiniti Red Bull Racing ,37 ,21:17:32 ,"",2 ,"",29.419 ,1:00.726
53 ,A. ROSSI ,Manor Marussia F1 Team ,36 ,21:17:38 ,"",2 ,"",32.036 ,1:03.216
7 ,K. RAIKKONEN ,Scuderia Ferrari ,37 ,21:17:42 ,"",2 ,"",30.689 ,1:00.720
6 ,N. ROSBERG ,Mercedes AMG Petronas F1 Team ,37 ,21:17:55 ,"",2 ,"",29.887 ,1:00.449
77 ,V. BOTTAS ,Williams Martini Racing ,37 ,21:18:06 ,"",2 ,"",29.239 ,58.499
22 ,J. BUTTON ,McLaren Honda ,37 ,21:18:41 ,"",2 ,"",30.106 ,1:35.423
55 ,C. SAINZ ,Scuderia Toro Rosso ,37 ,21:19:08 ,"",3 ,"",29.885 ,1:34.597
28 ,W. STEVENS ,Manor Marussia F1 Team ,37 ,21:20:15 ,"",2 ,"",37.847 ,1:08.245
22 ,J. BUTTON ,McLaren Honda ,41 ,21:28:16 ,"",3 ,"",37.822 ,2:13.245
13 ,P. MALDONADO ,Lotus F1 Team ,54 ,21:53:08 ,"",3 ,"",29.996 ,1:28.981
