SECTOR 1 ,SECTOR 2 ,SECTOR 3
NO ,DRIVER ,TIME
5 ,S. VETTEL ,27.665
7 ,K. RAIKKONEN ,27.814
19 ,F. MASSA ,27.875
44 ,L. HAMILTON ,27.883
26 ,D. KVYAT ,27.925
6 ,N. ROSBERG ,27.941
8 ,R. GROSJEAN ,27.979
77 ,V. BOTTAS ,28.037
3 ,D. RICCIARDO ,28.076
11 ,S. PEREZ ,28.154
27 ,N. HULKENBERG ,28.200
33 ,M. VERSTAPPEN ,28.291
14 ,F. ALONSO ,28.315
55 ,C. SAINZ ,28.375
12 ,F. NASR ,28.384
9 ,M. ERICSSON ,28.422
13 ,P. MALDONADO ,28.519
22 ,J. BUTTON ,28.545
53 ,A. ROSSI ,29.553
28 ,W. STEVENS ,29.592
NO ,DRIVER ,TIME
5 ,S. VETTEL ,39.945
3 ,D. RICCIARDO ,40.108
7 ,K. RAIKKONEN ,40.148
26 ,D. KVYAT ,40.203
44 ,L. HAMILTON ,40.319
33 ,M. VERSTAPPEN ,40.476
77 ,V. BOTTAS ,40.583
6 ,N. ROSBERG ,40.590
19 ,F. MASSA ,40.639
8 ,R. GROSJEAN ,40.692
55 ,C. SAINZ ,40.715
11 ,S. PEREZ ,40.765
14 ,F. ALONSO ,40.767
22 ,J. BUTTON ,40.927
27 ,N. HULKENBERG ,40.962
9 ,M. ERICSSON ,41.288
13 ,P. MALDONADO ,41.331
12 ,F. NASR ,41.365
28 ,W. STEVENS ,42.833
53 ,A. ROSSI ,43.027
NO ,DRIVER ,TIME
3 ,D. RICCIARDO ,36.185
5 ,S. VETTEL ,36.275
26 ,D. KVYAT ,36.412
7 ,K. RAIKKONEN ,36.615
6 ,N. ROSBERG ,36.738
44 ,L. HAMILTON ,36.810
33 ,M. VERSTAPPEN ,36.821
77 ,V. BOTTAS ,36.869
8 ,R. GROSJEAN ,36.966
55 ,C. SAINZ ,36.979
19 ,F. MASSA ,37.011
14 ,F. ALONSO ,37.030
27 ,N. HULKENBERG ,37.140
22 ,J. BUTTON ,37.196
12 ,F. NASR ,37.216
11 ,S. PEREZ ,37.224
9 ,M. ERICSSON ,37.378
13 ,P. MALDONADO ,37.473
28 ,W. STEVENS ,38.596
53 ,A. ROSSI ,38.943
