3 ,D. RICCIARDO
5 ,S. VETTEL
6 ,N. ROSBERG
LAP  ,TIME,LAP  ,TIME
1 ,14:05:16 ,28 ,1:39.009
2 ,1:40.249 ,29 ,1:39.094
3 ,1:39.861 ,30 P ,1:40.732
4 ,1:39.888 ,31 ,1:57.856
5 ,1:39.876 ,32 ,1:37.906
6 ,1:39.999 ,33 ,1:37.993
7 ,1:40.186 ,34 ,1:38.192
8 ,1:40.350 ,35 ,1:38.561
9 ,1:40.376 ,36 ,1:38.495
10 ,1:40.531 ,37 ,1:38.442
11 ,1:40.719 ,38 ,1:38.092
12 ,1:41.021 ,39 ,1:38.664
13 P ,1:43.402 ,40 ,1:39.204
14 ,1:58.817 ,41 ,1:39.534
15 ,1:39.467 ,42 ,1:38.964
16 ,1:39.510 ,43 ,1:38.774
17 ,1:39.472 ,44 ,1:38.993
18 ,1:39.364 ,45 ,1:40.063
19 ,1:39.556 ,46 ,1:38.984
20 ,1:39.315 ,47 ,1:38.491
21 ,1:39.128 ,48 ,1:38.973
22 ,1:39.102 ,49 ,1:39.016
23 ,1:39.529 ,50 ,1:38.639
24 ,1:39.172 ,51 ,1:39.079
25 ,1:38.915 ,52 ,1:39.746
26 ,1:39.000 ,53 ,1:38.771
27 ,1:39.003,"",""
LAP  ,TIME,LAP  ,TIME
1 P ,14:06:13 ,27 ,1:39.516
2 ,2:01.989 ,28 ,1:39.538
3 ,1:40.658 ,29 ,1:39.360
4 ,1:40.787 ,30 ,1:39.327
5 ,1:40.995 ,31 ,1:41.196
6 ,1:40.689 ,32 ,1:38.898
7 ,1:40.691 ,33 ,1:39.118
8 ,1:40.706 ,34 ,1:39.041
9 ,1:40.784 ,35 ,1:38.925
10 ,1:40.702 ,36 ,1:39.328
11 ,1:40.542 ,37 ,1:39.139
12 ,1:40.639 ,38 ,1:39.489
13 ,1:40.621 ,39 ,1:43.513
14 ,1:40.920 ,40 ,1:39.630
15 ,1:41.107 ,41 ,1:40.017
16 ,1:41.110 ,42 ,1:40.675
17 ,1:42.321 ,43 ,1:39.259
18 ,1:42.094 ,44 ,1:39.732
19 ,1:41.101 ,45 ,1:40.198
20 ,1:41.285 ,46 ,1:40.128
21 ,1:41.425 ,47 ,1:40.563
22 ,1:41.470 ,48 ,1:41.244
23 ,1:41.528 ,49 ,1:42.892
24 P ,1:43.669 ,50 ,1:43.972
25 ,1:58.336 ,51 ,1:41.547
26 ,1:39.138 ,52 ,1:42.794
LAP  ,TIME,LAP  ,TIME
1 ,14:05:17 ,28 ,1:39.002
2 ,1:41.048 ,29 P ,1:41.343
3 ,1:40.495 ,30 ,1:55.869
4 ,1:39.770 ,31 ,1:37.147
5 ,1:40.588 ,32 ,1:37.654
6 ,1:40.536 ,33 ,1:37.525
7 ,1:41.869 ,34 ,1:37.715
8 ,1:41.021 ,35 ,1:38.010
9 ,1:40.853 ,36 ,1:38.562
10 ,1:40.289 ,37 ,1:38.901
11 ,1:40.540 ,38 ,1:38.805
12 ,1:39.805 ,39 ,1:38.754
13 ,1:39.935 ,40 ,1:39.887
14 ,1:40.117 ,41 ,1:38.825
15 P ,1:42.576 ,42 ,1:38.605
16 ,1:57.355 ,43 ,1:38.671
17 ,1:39.982 ,44 ,1:39.732
18 ,1:38.354 ,45 ,1:39.693
19 ,1:38.380 ,46 ,1:38.527
20 ,1:38.873 ,47 ,1:38.752
21 ,1:38.911 ,48 ,1:38.904
22 ,1:39.028 ,49 ,1:38.929
23 ,1:39.584 ,50 ,1:38.924
24 ,1:39.221 ,51 ,1:39.173
25 ,1:39.288 ,52 ,1:39.005
26 ,1:38.722 ,53 ,1:39.473
27 ,1:38.930,"",""
7 ,K. RAIKKONEN
8 ,R. GROSJEAN
9 ,M. ERICSSON
LAP  ,TIME,LAP  ,TIME
1 ,14:05:19 ,28 ,1:40.514
2 ,1:41.369 ,29 ,1:40.675
3 ,1:41.038 ,30 ,1:40.886
4 ,1:40.892 ,31 ,1:42.552
5 ,1:40.966 ,32 ,1:41.270
