INTERMEDIATE 1 ,INTERMEDIATE 2 ,FINISH LINE
NO ,DRIVER ,KPH
11 ,S. PEREZ ,286.6
19 ,F. MASSA ,286.4
77 ,V. BOTTAS ,286.3
6 ,N. ROSBERG ,286.0
8 ,R. GROSJEAN ,286.0
13 ,P. MALDONADO ,285.4
44 ,L. HAMILTON ,284.5
5 ,S. VETTEL ,282.6
7 ,K. RAIKKONEN ,281.5
27 ,N. HULKENBERG ,280.5
22 ,J. BUTTON ,279.2
26 ,D. KVYAT ,278.7
12 ,F. NASR ,278.3
3 ,D. RICCIARDO ,277.4
55 ,C. SAINZ ,275.1
33 ,M. VERSTAPPEN ,274.3
9 ,M. ERICSSON ,270.8
53 ,A. ROSSI ,270.4
14 ,F. ALONSO ,268.8
28 ,W. STEVENS ,266.4
NO ,DRIVER ,KPH
11 ,S. PEREZ ,326.4
19 ,F. MASSA ,326.4
6 ,N. ROSBERG ,325.3
77 ,V. BOTTAS ,325.2
13 ,P. MALDONADO ,323.9
8 ,R. GROSJEAN ,322.7
7 ,K. RAIKKONEN ,322.5
5 ,S. VETTEL ,320.5
33 ,M. VERSTAPPEN ,319.6
44 ,L. HAMILTON ,319.6
26 ,D. KVYAT ,318.9
9 ,M. ERICSSON ,318.3
27 ,N. HULKENBERG ,318.2
3 ,D. RICCIARDO ,315.9
55 ,C. SAINZ ,315.2
12 ,F. NASR ,314.0
14 ,F. ALONSO ,311.5
22 ,J. BUTTON ,309.3
53 ,A. ROSSI ,306.9
28 ,W. STEVENS ,306.3
NO ,DRIVER ,KPH
8 ,R. GROSJEAN ,268.5
6 ,N. ROSBERG ,268.3
77 ,V. BOTTAS ,267.9
19 ,F. MASSA ,267.9
44 ,L. HAMILTON ,267.1
7 ,K. RAIKKONEN ,266.4
5 ,S. VETTEL ,266.1
11 ,S. PEREZ ,265.6
13 ,P. MALDONADO ,265.2
26 ,D. KVYAT ,264.9
3 ,D. RICCIARDO ,264.6
33 ,M. VERSTAPPEN ,264.3
27 ,N. HULKENBERG ,264.0
14 ,F. ALONSO ,263.0
9 ,M. ERICSSON ,262.2
12 ,F. NASR ,262.0
55 ,C. SAINZ ,261.9
22 ,J. BUTTON ,260.9
53 ,A. ROSSI ,255.5
28 ,W. STEVENS ,255.2
