SECTOR 1 ,SECTOR 2 ,SECTOR 3
NO ,DRIVER ,TIME
44 ,L. HAMILTON ,34.828
6 ,N. ROSBERG ,35.260
33 ,M. VERSTAPPEN ,35.337
55 ,C. SAINZ ,35.497
77 ,V. BOTTAS ,35.552
26 ,D. KVYAT ,35.597
13 ,P. MALDONADO ,35.611
5 ,S. VETTEL ,35.619
7 ,K. RAIKKONEN ,35.622
8 ,R. GROSJEAN ,35.681
27 ,N. HULKENBERG ,35.739
3 ,D. RICCIARDO ,35.776
19 ,F. MASSA ,35.843
11 ,S. PEREZ ,35.851
14 ,F. ALONSO ,36.172
12 ,F. NASR ,36.202
9 ,M. ERICSSON ,36.241
22 ,J. BUTTON ,36.406
28 ,W. STEVENS ,36.824
53 ,A. ROSSI ,36.851
NO ,DRIVER ,TIME
6 ,N. ROSBERG ,42.785
44 ,L. HAMILTON ,42.916
33 ,M. VERSTAPPEN ,43.509
11 ,S. PEREZ ,43.517
7 ,K. RAIKKONEN ,43.552
5 ,S. VETTEL ,43.635
8 ,R. GROSJEAN ,43.661
77 ,V. BOTTAS ,43.683
27 ,N. HULKENBERG ,43.718
13 ,P. MALDONADO ,43.787
9 ,M. ERICSSON ,43.857
22 ,J. BUTTON ,43.885
14 ,F. ALONSO ,43.892
26 ,D. KVYAT ,43.896
19 ,F. MASSA ,43.925
55 ,C. SAINZ ,43.998
3 ,D. RICCIARDO ,44.034
12 ,F. NASR ,44.506
53 ,A. ROSSI ,45.004
28 ,W. STEVENS ,45.149
NO ,DRIVER ,TIME
6 ,N. ROSBERG ,18.365
44 ,L. HAMILTON ,18.401
11 ,S. PEREZ ,18.482
5 ,S. VETTEL ,18.531
26 ,D. KVYAT ,18.641
7 ,K. RAIKKONEN ,18.648
27 ,N. HULKENBERG ,18.653
77 ,V. BOTTAS ,18.654
13 ,P. MALDONADO ,18.682
55 ,C. SAINZ ,18.721
8 ,R. GROSJEAN ,18.738
19 ,F. MASSA ,18.743
33 ,M. VERSTAPPEN ,18.757
3 ,D. RICCIARDO ,18.763
22 ,J. BUTTON ,18.783
9 ,M. ERICSSON ,18.829
14 ,F. ALONSO ,18.968
12 ,F. NASR ,19.054
28 ,W. STEVENS ,19.183
53 ,A. ROSSI ,19.188
