INTERMEDIATE 1 ,INTERMEDIATE 2 ,FINISH LINE
NO ,DRIVER ,KPH
5 ,S. VETTEL ,262.8
77 ,V. BOTTAS ,260.5
19 ,F. MASSA ,259.7
12 ,F. NASR ,259.1
11 ,S. PEREZ ,259.0
13 ,P. MALDONADO ,257.2
7 ,K. RAIKKONEN ,256.2
44 ,L. HAMILTON ,255.5
55 ,C. SAINZ ,255.2
26 ,D. KVYAT ,252.9
14 ,F. ALONSO ,252.9
3 ,D. RICCIARDO ,252.0
33 ,M. VERSTAPPEN ,251.5
98 ,R. MERHI ,249.9
22 ,J. BUTTON ,249.0
28 ,W. STEVENS ,248.8
6 ,N. ROSBERG ,248.5
8 ,R. GROSJEAN ,243.9
NO ,DRIVER ,KPH
19 ,F. MASSA ,332.7
77 ,V. BOTTAS ,332.1
7 ,K. RAIKKONEN ,329.8
5 ,S. VETTEL ,329.3
13 ,P. MALDONADO ,326.7
8 ,R. GROSJEAN ,325.4
55 ,C. SAINZ ,323.2
11 ,S. PEREZ ,323.2
3 ,D. RICCIARDO ,319.6
12 ,F. NASR ,317.2
33 ,M. VERSTAPPEN ,317.0
44 ,L. HAMILTON ,313.8
14 ,F. ALONSO ,312.5
26 ,D. KVYAT ,306.8
22 ,J. BUTTON ,304.3
6 ,N. ROSBERG ,301.9
28 ,W. STEVENS ,299.0
98 ,R. MERHI ,291.1
NO ,DRIVER ,KPH
3 ,D. RICCIARDO ,165.6
26 ,D. KVYAT ,164.8
5 ,S. VETTEL ,164.8
77 ,V. BOTTAS ,163.1
44 ,L. HAMILTON ,163.1
6 ,N. ROSBERG ,162.3
22 ,J. BUTTON ,162.2
19 ,F. MASSA ,162.2
12 ,F. NASR ,161.6
7 ,K. RAIKKONEN ,161.2
55 ,C. SAINZ ,160.8
11 ,S. PEREZ ,160.6
33 ,M. VERSTAPPEN ,160.5
8 ,R. GROSJEAN ,159.1
13 ,P. MALDONADO ,158.9
14 ,F. ALONSO ,158.2
98 ,R. MERHI ,158.2
28 ,W. STEVENS ,157.8
