SECTOR 1 ,SECTOR 2 ,SECTOR 3
NO ,DRIVER ,TIME
6 ,N. ROSBERG ,34.410
44 ,L. HAMILTON ,34.469
8 ,R. GROSJEAN ,34.650
77 ,V. BOTTAS ,34.665
7 ,K. RAIKKONEN ,34.724
5 ,S. VETTEL ,34.769
19 ,F. MASSA ,34.774
11 ,S. PEREZ ,34.914
27 ,N. HULKENBERG ,35.025
33 ,M. VERSTAPPEN ,35.042
13 ,P. MALDONADO ,35.245
12 ,F. NASR ,35.296
3 ,D. RICCIARDO ,35.359
26 ,D. KVYAT ,35.407
14 ,F. ALONSO ,35.514
22 ,J. BUTTON ,35.552
9 ,M. ERICSSON ,35.659
98 ,R. MERHI ,36.635
28 ,W. STEVENS ,36.707
NO ,DRIVER ,TIME
6 ,N. ROSBERG ,33.577
44 ,L. HAMILTON ,33.634
77 ,V. BOTTAS ,33.763
5 ,S. VETTEL ,33.874
8 ,R. GROSJEAN ,34.106
27 ,N. HULKENBERG ,34.111
7 ,K. RAIKKONEN ,34.133
11 ,S. PEREZ ,34.136
19 ,F. MASSA ,34.184
3 ,D. RICCIARDO ,34.245
26 ,D. KVYAT ,34.341
33 ,M. VERSTAPPEN ,34.374
12 ,F. NASR ,34.387
14 ,F. ALONSO ,34.498
22 ,J. BUTTON ,34.520
13 ,P. MALDONADO ,34.552
9 ,M. ERICSSON ,34.913
98 ,R. MERHI ,35.953
28 ,W. STEVENS ,36.224
NO ,DRIVER ,TIME
6 ,N. ROSBERG ,28.935
44 ,L. HAMILTON ,29.152
5 ,S. VETTEL ,29.273
27 ,N. HULKENBERG ,29.287
7 ,K. RAIKKONEN ,29.312
11 ,S. PEREZ ,29.344
3 ,D. RICCIARDO ,29.357
77 ,V. BOTTAS ,29.373
26 ,D. KVYAT ,29.397
33 ,M. VERSTAPPEN ,29.486
8 ,R. GROSJEAN ,29.531
22 ,J. BUTTON ,29.594
12 ,F. NASR ,29.633
19 ,F. MASSA ,29.726
13 ,P. MALDONADO ,29.795
14 ,F. ALONSO ,29.930
9 ,M. ERICSSON ,30.088
28 ,W. STEVENS ,30.762
98 ,R. MERHI ,31.216
