5 ,S. VETTEL
6 ,N. ROSBERG
3 ,D. RICCIARDO
LAP  ,TIME,LAP  ,TIME
1 ,14:05:51 ,29 ,2:34.751
2 ,1:57.405 ,30 ,2:39.567
3 ,1:57.050 ,31 ,2:37.553
4 ,1:57.662 ,32 ,2:31.794
5 ,2:08.542 ,33 ,1:48.276
6 ,2:16.874 ,34 ,1:47.239
7 ,2:14.933 ,35 ,1:46.476
8 ,2:05.227 ,36 ,1:46.983
9 ,1:56.930 ,37 ,1:48.559
10 ,1:57.870 ,38 P ,2:20.344
11 ,1:58.220 ,39 ,2:25.728
12 ,1:58.214 ,40 ,1:43.808
13 ,1:56.680 ,41 ,1:43.972
14 ,1:56.898 ,42 ,1:43.498
15 ,1:55.362 ,43 ,2:18.073
16 ,1:54.685 ,44 ,2:17.997
17 ,1:54.650 ,45 ,2:15.875
18 ,1:54.194 ,46 ,2:28.937
19 P ,1:54.143 ,47 ,1:46.346
20 ,2:18.388 ,48 ,1:45.121
21 ,1:49.539 ,49 ,1:47.092
22 ,1:48.350 ,50 P ,1:48.910
23 ,1:46.473 ,51 ,2:04.600
24 ,1:46.060 ,52 ,1:43.467
25 ,1:46.267 ,53 ,1:41.980
26 ,1:45.829 ,54 ,1:43.139
27 ,1:54.751 ,55 ,1:44.111
28 ,2:26.007 ,56 ,1:43.790
LAP  ,TIME,LAP  ,TIME
1 ,14:05:54 ,29 ,2:23.717
2 ,1:59.397 ,30 ,2:39.353
3 ,1:59.059 ,31 ,2:38.856
4 ,1:59.501 ,32 ,2:29.132
5 ,2:07.337 ,33 ,1:48.326
6 ,2:16.291 ,34 ,1:45.116
7 ,2:19.073 ,35 ,1:43.938
8 ,2:01.071 ,36 ,1:43.796
9 ,1:57.412 ,37 ,1:44.332
10 ,1:58.195 ,38 ,2:16.993
11 ,1:58.483 ,39 ,2:12.017
12 ,1:58.425 ,40 ,1:44.036
13 ,1:58.444 ,41 ,1:43.403
14 ,1:58.405 ,42 ,1:44.047
15 ,1:56.573 ,43 P ,2:06.817
16 ,1:56.498 ,44 ,2:39.836
17 ,1:57.303 ,45 ,2:30.225
18 P ,1:58.072 ,46 ,2:30.680
19 ,2:13.099 ,47 ,1:43.915
20 ,1:48.955 ,48 ,1:41.546
21 ,1:47.381 ,49 ,1:41.468
22 ,1:46.888 ,50 ,1:41.758
23 ,1:45.800 ,51 ,1:41.451
24 ,1:45.185 ,52 ,1:41.330
25 ,1:45.354 ,53 ,1:41.844
26 ,1:45.204 ,54 ,1:41.829
27 P ,1:55.780 ,55 ,1:42.065
28 ,2:34.575 ,56 ,1:42.787
LAP  ,TIME,LAP  ,TIME
1 ,14:05:51 ,29 ,2:33.927
