INTERMEDIATE 1 ,INTERMEDIATE 2 ,FINISH LINE
NO ,DRIVER ,KPH
44 ,L. HAMILTON ,220.2
3 ,D. RICCIARDO ,216.7
6 ,N. ROSBERG ,213.1
26 ,D. KVYAT ,212.1
33 ,M. VERSTAPPEN ,211.4
55 ,C. SAINZ ,208.5
22 ,J. BUTTON ,208.2
14 ,F. ALONSO ,208.1
13 ,P. MALDONADO ,206.8
5 ,S. VETTEL ,206.8
11 ,S. PEREZ ,203.9
12 ,F. NASR ,199.2
27 ,N. HULKENBERG ,198.3
9 ,M. ERICSSON ,188.9
53 ,A. ROSSI ,188.8
7 ,K. RAIKKONEN ,187.4
19 ,F. MASSA ,184.2
8 ,R. GROSJEAN ,165.5
77 ,V. BOTTAS ,156.4
28 ,W. STEVENS ,105.9
NO ,DRIVER ,KPH
44 ,L. HAMILTON ,193.1
6 ,N. ROSBERG ,192.3
13 ,P. MALDONADO ,192.1
33 ,M. VERSTAPPEN ,190.2
11 ,S. PEREZ ,189.8
5 ,S. VETTEL ,188.7
55 ,C. SAINZ ,188.5
3 ,D. RICCIARDO ,188.0
12 ,F. NASR ,187.1
26 ,D. KVYAT ,185.5
7 ,K. RAIKKONEN ,185.4
27 ,N. HULKENBERG ,184.9
22 ,J. BUTTON ,181.5
9 ,M. ERICSSON ,180.6
53 ,A. ROSSI ,179.8
19 ,F. MASSA ,179.0
14 ,F. ALONSO ,178.8
8 ,R. GROSJEAN ,177.1
77 ,V. BOTTAS ,162.6
28 ,W. STEVENS ,90.3
NO ,DRIVER ,KPH
13 ,P. MALDONADO ,210.5
5 ,S. VETTEL ,210.1
44 ,L. HAMILTON ,208.2
55 ,C. SAINZ ,207.6
6 ,N. ROSBERG ,207.6
22 ,J. BUTTON ,207.5
14 ,F. ALONSO ,207.3
11 ,S. PEREZ ,207.3
12 ,F. NASR ,206.7
33 ,M. VERSTAPPEN ,205.0
3 ,D. RICCIARDO ,204.9
27 ,N. HULKENBERG ,204.5
26 ,D. KVYAT ,204.4
7 ,K. RAIKKONEN ,204.1
19 ,F. MASSA ,203.0
9 ,M. ERICSSON ,202.1
53 ,A. ROSSI ,198.8
8 ,R. GROSJEAN ,192.9
77 ,V. BOTTAS ,163.1
