NO ,DRIVER ,ENTRANT ,LAP,TIME OF DAY,S,T  OP,"",DURATION ,TOTAL TIME
77 ,V. BOTTAS ,Williams Martini Racing ,1 ,14:05:59 ,"",1 ,"",40.488 ,40.488
8 ,R. GROSJEAN ,Lotus F1 Team ,1 ,14:06:27 ,"",1 ,"",27.621 ,27.621
53 ,A. ROSSI ,Manor Marussia F1 Team ,1 ,14:06:39 ,"",1 ,"",37.748 ,37.748
14 ,F. ALONSO ,McLaren Honda ,1 ,14:06:40 ,"",1 ,"",31.987 ,31.987
12 ,F. NASR ,Sauber F1 Team ,2 ,14:08:09 ,"",1 ,"",31.137 ,31.137
12 ,F. NASR ,Sauber F1 Team ,3 ,14:11:11 ,"",2 ,"",25.931 ,57.068
77 ,V. BOTTAS ,Williams Martini Racing ,4 ,14:14:23 ,"",2 ,"",26.384 ,1:06.872
8 ,R. GROSJEAN ,Lotus F1 Team ,9 ,14:23:43 ,"",2 ,"",27.730 ,55.351
9 ,M. ERICSSON ,Sauber F1 Team ,16 ,14:36:37 ,"",1 ,"",29.728 ,29.728
22 ,J. BUTTON ,McLaren Honda ,17 ,14:38:36 ,"",1 ,"",27.286 ,27.286
44 ,L. HAMILTON ,Mercedes AMG Petronas F1 Team ,18 ,14:40:00 ,"",1 ,"",24.354 ,24.354
5 ,S. VETTEL ,Scuderia Ferrari ,18 ,14:40:12 ,"",1 ,"",25.019 ,25.019
33 ,M. VERSTAPPEN ,Scuderia Toro Rosso ,18 ,14:40:12 ,"",1 ,"",25.527 ,25.527
19 ,F. MASSA ,Williams Martini Racing ,18 ,14:40:23 ,"",1 ,"",24.646 ,24.646
12 ,F. NASR ,Sauber F1 Team ,17 ,14:40:29 ,"",3 ,"",25.714 ,1:22.782
53 ,A. ROSSI ,Manor Marussia F1 Team ,17 ,14:40:33 ,"",2 ,"",26.520 ,1:04.268
13 ,P. MALDONADO ,Lotus F1 Team ,18 ,14:40:42 ,"",1 ,"",27.851 ,27.851
14 ,F. ALONSO ,McLaren Honda ,18 ,14:41:28 ,"",2 ,"",24.631 ,56.618
3 ,D. RICCIARDO ,Infiniti Red Bull Racing ,19 ,14:41:45 ,"",1 ,"",24.449 ,24.449
6 ,N. ROSBERG ,Mercedes AMG Petronas F1 Team ,19 ,14:41:53 ,"",1 ,"",24.640 ,24.640
26 ,D. KVYAT ,Infiniti Red Bull Racing ,19 ,14:41:54 ,"",1 ,"",24.638 ,24.638
11 ,S. PEREZ ,Sahara Force India F1 Team ,19 ,14:42:04 ,"",1 ,"",26.458 ,26.458
7 ,K. RAIKKONEN ,Scuderia Ferrari ,19 ,14:42:09 ,"",1 ,"",24.733 ,24.733
55 ,C. SAINZ ,Scuderia Toro Rosso ,19 ,14:42:10 ,"",1 ,"",25.259 ,25.259
27 ,N. HULKENBERG ,Sahara Force India F1 Team ,19 ,14:42:11 ,"",1 ,"",27.344 ,27.344
9 ,M. ERICSSON ,Sauber F1 Team ,19 ,14:42:56 ,"",2 ,"",30.932 ,1:00.660
7 ,K. RAIKKONEN ,Scuderia Ferrari ,20 ,14:45:11 ,"",2 ,"",34.548 ,59.281
NO ,DRIVER ,ENTRANT ,LAP,TIME OF DAY,S,T  OP,"",DURATION ,TOTAL TIME
14 ,F. ALONSO ,McLaren Honda ,26 ,14:56:18 ,"",3 ,"",25.405 ,1:22.023
5 ,S. VETTEL ,Scuderia Ferrari ,27 ,14:56:46 ,"",2 ,"",25.576 ,50.595
27 ,N. HULKENBERG ,Sahara Force India F1 Team ,27 ,14:56:58 ,"",2 ,"",27.360 ,54.704
55 ,C. SAINZ ,Scuderia Toro Rosso ,27 ,14:57:05 ,"",2 ,"",44.582 ,1:09.841
11 ,S. PEREZ ,Sahara Force India F1 Team ,27 ,14:57:13 ,"",2 ,"",24.730 ,51.188
22 ,J. BUTTON ,McLaren Honda ,27 ,14:57:21 ,"",2 ,"",24.689 ,51.975
13 ,P. MALDONADO ,Lotus F1 Team ,27 ,14:58:06 ,"",2 ,"",25.446 ,53.297
12 ,F. NASR ,Sauber F1 Team ,26 ,14:58:12 ,"",4 ,"",24.975 ,1:47.757
33 ,M. VERSTAPPEN ,Scuderia Toro Rosso ,28 ,14:59:09 ,"",2 ,"",24.904 ,50.431
53 ,A. ROSSI ,Manor Marussia F1 Team ,27 ,15:00:26 ,"",3 ,"",25.812 ,1:30.080
6 ,N. ROSBERG ,Mercedes AMG Petronas F1 Team ,38 ,15:20:21 ,"",2 ,"",25.242 ,49.882
26 ,D. KVYAT ,Infiniti Red Bull Racing ,38 ,15:20:45 ,"",2 ,"",25.205 ,49.843
3 ,D. RICCIARDO ,Infiniti Red Bull Racing ,38 ,15:20:48 ,"",2 ,"",27.802 ,52.251
12 ,F. NASR ,Sauber F1 Team ,42 ,15:29:13 ,"",5 ,"",35.546 ,2:23.303
44 ,L. HAMILTON ,Mercedes AMG Petronas F1 Team ,43 ,15:29:55 ,"",2 ,"",24.088 ,48.442
5 ,S. VETTEL ,Scuderia Ferrari ,43 ,15:30:04 ,"",3 ,"",24.158 ,1:14.753
55 ,C. SAINZ ,Scuderia Toro Rosso ,43 ,15:30:32 ,"",3 ,"",26.840 ,1:36.681
13 ,P. MALDONADO ,Lotus F1 Team ,43 ,15:30:33 ,"",3 ,"",25.054 ,1:18.351
22 ,J. BUTTON ,McLaren Honda ,44 ,15:32:44 ,"",3 ,"",24.862 ,1:16.837
3 ,D. RICCIARDO ,Infiniti Red Bull Racing ,50 ,15:44:54 ,"",3 ,"",24.495 ,1:16.746
