SECTOR 1 ,SECTOR 2 ,SECTOR 3
NO ,DRIVER ,TIME
6 ,N. ROSBERG ,26.714
44 ,L. HAMILTON ,26.715
5 ,S. VETTEL ,27.122
3 ,D. RICCIARDO ,27.154
55 ,C. SAINZ ,27.332
13 ,P. MALDONADO ,27.360
22 ,J. BUTTON ,27.430
11 ,S. PEREZ ,27.492
33 ,M. VERSTAPPEN ,27.527
14 ,F. ALONSO ,27.667
12 ,F. NASR ,27.865
26 ,D. KVYAT ,27.888
27 ,N. HULKENBERG ,27.974
7 ,K. RAIKKONEN ,28.492
9 ,M. ERICSSON ,28.899
53 ,A. ROSSI ,28.991
19 ,F. MASSA ,29.049
8 ,R. GROSJEAN ,31.987
77 ,V. BOTTAS ,41.408
NO ,DRIVER ,TIME
6 ,N. ROSBERG ,40.035
44 ,L. HAMILTON ,40.038
5 ,S. VETTEL ,40.317
55 ,C. SAINZ ,40.675
11 ,S. PEREZ ,40.788
3 ,D. RICCIARDO ,40.897
13 ,P. MALDONADO ,40.904
22 ,J. BUTTON ,40.991
33 ,M. VERSTAPPEN ,41.202
26 ,D. KVYAT ,41.211
27 ,N. HULKENBERG ,41.470
12 ,F. NASR ,41.480
14 ,F. ALONSO ,41.513
7 ,K. RAIKKONEN ,41.990
9 ,M. ERICSSON ,42.508
53 ,A. ROSSI ,42.659
19 ,F. MASSA ,42.850
8 ,R. GROSJEAN ,46.961
77 ,V. BOTTAS ,49.294
28 ,W. STEVENS ,65.166
NO ,DRIVER ,TIME
6 ,N. ROSBERG ,33.533
5 ,S. VETTEL ,33.608
44 ,L. HAMILTON ,33.730
3 ,D. RICCIARDO ,33.929
55 ,C. SAINZ ,33.984
33 ,M. VERSTAPPEN ,34.341
22 ,J. BUTTON ,34.414
13 ,P. MALDONADO ,34.472
26 ,D. KVYAT ,34.494
11 ,S. PEREZ ,34.643
14 ,F. ALONSO ,34.869
12 ,F. NASR ,34.989
27 ,N. HULKENBERG ,35.143
7 ,K. RAIKKONEN ,35.197
9 ,M. ERICSSON ,35.790
53 ,A. ROSSI ,35.995
19 ,F. MASSA ,36.332
8 ,R. GROSJEAN ,40.653
77 ,V. BOTTAS ,51.280
