SECTOR 1 ,SECTOR 2 ,SECTOR 3
NO ,DRIVER ,TIME
6 ,N. ROSBERG ,27.401
44 ,L. HAMILTON ,27.501
77 ,V. BOTTAS ,27.601
19 ,F. MASSA ,27.641
5 ,S. VETTEL ,27.646
11 ,S. PEREZ ,27.811
27 ,N. HULKENBERG ,27.821
26 ,D. KVYAT ,27.878
8 ,R. GROSJEAN ,27.907
33 ,M. VERSTAPPEN ,27.930
9 ,M. ERICSSON ,27.937
13 ,P. MALDONADO ,27.942
55 ,C. SAINZ ,27.950
3 ,D. RICCIARDO ,27.983
12 ,F. NASR ,28.038
7 ,K. RAIKKONEN ,28.189
14 ,F. ALONSO ,28.396
53 ,A. ROSSI ,29.360
28 ,W. STEVENS ,29.537
NO ,DRIVER ,TIME
6 ,N. ROSBERG ,31.208
44 ,L. HAMILTON ,31.271
5 ,S. VETTEL ,31.336
3 ,D. RICCIARDO ,31.411
26 ,D. KVYAT ,31.488
55 ,C. SAINZ ,31.592
77 ,V. BOTTAS ,31.592
19 ,F. MASSA ,31.695
11 ,S. PEREZ ,31.703
33 ,M. VERSTAPPEN ,31.734
27 ,N. HULKENBERG ,31.770
8 ,R. GROSJEAN ,31.842
14 ,F. ALONSO ,31.948
13 ,P. MALDONADO ,31.948
9 ,M. ERICSSON ,32.008
7 ,K. RAIKKONEN ,32.111
12 ,F. NASR ,32.332
53 ,A. ROSSI ,32.988
28 ,W. STEVENS ,33.072
NO ,DRIVER ,TIME
44 ,L. HAMILTON ,20.797
5 ,S. VETTEL ,20.839
26 ,D. KVYAT ,20.855
6 ,N. ROSBERG ,20.860
3 ,D. RICCIARDO ,20.887
33 ,M. VERSTAPPEN ,20.950
11 ,S. PEREZ ,21.071
13 ,P. MALDONADO ,21.090
77 ,V. BOTTAS ,21.106
19 ,F. MASSA ,21.111
7 ,K. RAIKKONEN ,21.122
12 ,F. NASR ,21.123
55 ,C. SAINZ ,21.132
27 ,N. HULKENBERG ,21.151
9 ,M. ERICSSON ,21.202
14 ,F. ALONSO ,21.216
8 ,R. GROSJEAN ,21.237
53 ,A. ROSSI ,21.677
28 ,W. STEVENS ,21.734
