SECTOR 1 ,SECTOR 2 ,SECTOR 3
NO ,DRIVER ,TIME
6 ,N. ROSBERG ,17.933
44 ,L. HAMILTON ,17.991
5 ,S. VETTEL ,18.025
77 ,V. BOTTAS ,18.042
7 ,K. RAIKKONEN ,18.048
27 ,N. HULKENBERG ,18.101
19 ,F. MASSA ,18.125
3 ,D. RICCIARDO ,18.180
26 ,D. KVYAT ,18.244
11 ,S. PEREZ ,18.248
8 ,R. GROSJEAN ,18.254
33 ,M. VERSTAPPEN ,18.287
55 ,C. SAINZ ,18.299
12 ,F. NASR ,18.314
13 ,P. MALDONADO ,18.344
9 ,M. ERICSSON ,18.360
22 ,J. BUTTON ,18.498
14 ,F. ALONSO ,18.757
28 ,W. STEVENS ,19.079
53 ,A. ROSSI ,19.190
NO ,DRIVER ,TIME
6 ,N. ROSBERG ,36.940
44 ,L. HAMILTON ,36.951
5 ,S. VETTEL ,37.175
26 ,D. KVYAT ,37.355
7 ,K. RAIKKONEN ,37.383
3 ,D. RICCIARDO ,37.490
77 ,V. BOTTAS ,37.537
33 ,M. VERSTAPPEN ,37.546
27 ,N. HULKENBERG ,37.632
19 ,F. MASSA ,37.802
8 ,R. GROSJEAN ,37.821
55 ,C. SAINZ ,37.821
22 ,J. BUTTON ,37.879
12 ,F. NASR ,37.884
9 ,M. ERICSSON ,37.999
11 ,S. PEREZ ,38.020
13 ,P. MALDONADO ,38.155
53 ,A. ROSSI ,39.497
28 ,W. STEVENS ,39.791
14 ,F. ALONSO ,51.717
NO ,DRIVER ,TIME
44 ,L. HAMILTON ,16.281
6 ,N. ROSBERG ,16.409
27 ,N. HULKENBERG ,16.437
5 ,S. VETTEL ,16.475
19 ,F. MASSA ,16.488
7 ,K. RAIKKONEN ,16.501
77 ,V. BOTTAS ,16.506
11 ,S. PEREZ ,16.723
26 ,D. KVYAT ,16.723
12 ,F. NASR ,16.730
3 ,D. RICCIARDO ,16.747
8 ,R. GROSJEAN ,16.756
13 ,P. MALDONADO ,16.768
9 ,M. ERICSSON ,16.794
33 ,M. VERSTAPPEN ,16.799
22 ,J. BUTTON ,16.845
55 ,C. SAINZ ,16.867
53 ,A. ROSSI ,17.306
28 ,W. STEVENS ,17.366
14 ,F. ALONSO ,20.623
