INTERMEDIATE 1 ,INTERMEDIATE 2 ,FINISH LINE
NO ,DRIVER ,KPH
77 ,V. BOTTAS ,294.9
19 ,F. MASSA ,291.8
5 ,S. VETTEL ,291.1
8 ,R. GROSJEAN ,290.7
7 ,K. RAIKKONEN ,289.6
11 ,S. PEREZ ,289.0
44 ,L. HAMILTON ,287.2
27 ,N. HULKENBERG ,287.0
6 ,N. ROSBERG ,286.8
33 ,M. VERSTAPPEN ,285.5
14 ,F. ALONSO ,285.2
55 ,C. SAINZ ,284.8
22 ,J. BUTTON ,284.1
26 ,D. KVYAT ,283.9
3 ,D. RICCIARDO ,283.7
12 ,F. NASR ,281.9
9 ,M. ERICSSON ,280.4
98 ,R. MERHI ,270.4
28 ,W. STEVENS ,268.4
NO ,DRIVER ,KPH
77 ,V. BOTTAS ,325.2
19 ,F. MASSA ,319.7
7 ,K. RAIKKONEN ,308.2
5 ,S. VETTEL ,307.0
26 ,D. KVYAT ,306.8
9 ,M. ERICSSON ,306.8
3 ,D. RICCIARDO ,303.8
8 ,R. GROSJEAN ,303.5
44 ,L. HAMILTON ,303.1
27 ,N. HULKENBERG ,301.5
12 ,F. NASR ,301.0
33 ,M. VERSTAPPEN ,300.7
11 ,S. PEREZ ,300.0
6 ,N. ROSBERG ,299.0
14 ,F. ALONSO ,298.5
22 ,J. BUTTON ,297.9
55 ,C. SAINZ ,294.4
98 ,R. MERHI ,285.1
28 ,W. STEVENS ,284.3
NO ,DRIVER ,KPH
5 ,S. VETTEL ,222.6
14 ,F. ALONSO ,221.7
9 ,M. ERICSSON ,218.8
6 ,N. ROSBERG ,218.5
19 ,F. MASSA ,217.6
8 ,R. GROSJEAN ,217.0
77 ,V. BOTTAS ,216.9
44 ,L. HAMILTON ,216.9
7 ,K. RAIKKONEN ,216.1
22 ,J. BUTTON ,216.0
12 ,F. NASR ,215.7
33 ,M. VERSTAPPEN ,215.3
27 ,N. HULKENBERG ,215.3
26 ,D. KVYAT ,214.0
11 ,S. PEREZ ,213.3
28 ,W. STEVENS ,213.2
55 ,C. SAINZ ,212.3
3 ,D. RICCIARDO ,211.6
98 ,R. MERHI ,208.4
