SECTOR 1 ,SECTOR 2 ,SECTOR 3
NO ,DRIVER ,TIME
6 ,N. ROSBERG ,17.464
19 ,F. MASSA ,17.535
44 ,L. HAMILTON ,17.544
7 ,K. RAIKKONEN ,17.550
77 ,V. BOTTAS ,17.648
11 ,S. PEREZ ,17.652
27 ,N. HULKENBERG ,17.673
13 ,P. MALDONADO ,17.697
8 ,R. GROSJEAN ,17.791
5 ,S. VETTEL ,17.833
3 ,D. RICCIARDO ,17.854
26 ,D. KVYAT ,17.891
55 ,C. SAINZ ,17.921
14 ,F. ALONSO ,17.930
33 ,M. VERSTAPPEN ,17.939
22 ,J. BUTTON ,17.969
12 ,F. NASR ,17.983
9 ,M. ERICSSON ,18.051
28 ,W. STEVENS ,18.820
98 ,R. MERHI ,18.960
NO ,DRIVER ,TIME
6 ,N. ROSBERG ,41.967
44 ,L. HAMILTON ,41.988
7 ,K. RAIKKONEN ,42.110
11 ,S. PEREZ ,42.250
77 ,V. BOTTAS ,42.291
27 ,N. HULKENBERG ,42.422
19 ,F. MASSA ,42.463
13 ,P. MALDONADO ,42.558
26 ,D. KVYAT ,42.581
3 ,D. RICCIARDO ,42.610
8 ,R. GROSJEAN ,42.709
33 ,M. VERSTAPPEN ,42.778
55 ,C. SAINZ ,42.790
22 ,J. BUTTON ,42.826
12 ,F. NASR ,42.826
5 ,S. VETTEL ,42.886
14 ,F. ALONSO ,43.060
9 ,M. ERICSSON ,43.121
28 ,W. STEVENS ,44.090
98 ,R. MERHI ,44.472
NO ,DRIVER ,TIME
6 ,N. ROSBERG ,40.742
3 ,D. RICCIARDO ,40.980
44 ,L. HAMILTON ,41.030
11 ,S. PEREZ ,41.261
7 ,K. RAIKKONEN ,41.391
26 ,D. KVYAT ,41.450
27 ,N. HULKENBERG ,41.578
22 ,J. BUTTON ,41.638
77 ,V. BOTTAS ,41.717
55 ,C. SAINZ ,41.753
33 ,M. VERSTAPPEN ,41.761
19 ,F. MASSA ,41.761
14 ,F. ALONSO ,42.009
8 ,R. GROSJEAN ,42.080
12 ,F. NASR ,42.087
5 ,S. VETTEL ,42.097
13 ,P. MALDONADO ,42.112
9 ,M. ERICSSON ,42.518
28 ,W. STEVENS ,43.387
98 ,R. MERHI ,43.894
