SECTOR 1 ,SECTOR 2 ,SECTOR 3
NO ,DRIVER ,TIME
44 ,L. HAMILTON ,28.725
7 ,K. RAIKKONEN ,29.023
5 ,S. VETTEL ,29.034
6 ,N. ROSBERG ,29.108
77 ,V. BOTTAS ,29.135
19 ,F. MASSA ,29.249
55 ,C. SAINZ ,29.311
3 ,D. RICCIARDO ,29.388
12 ,F. NASR ,29.413
13 ,P. MALDONADO ,29.452
8 ,R. GROSJEAN ,29.530
27 ,N. HULKENBERG ,29.568
11 ,S. PEREZ ,29.611
33 ,M. VERSTAPPEN ,29.613
26 ,D. KVYAT ,29.631
22 ,J. BUTTON ,30.377
20 ,K. MAGNUSSEN ,30.523
9 ,M. ERICSSON ,30.664
NO ,DRIVER ,TIME
44 ,L. HAMILTON ,23.090
6 ,N. ROSBERG ,23.192
77 ,V. BOTTAS ,23.352
19 ,F. MASSA ,23.422
7 ,K. RAIKKONEN ,23.522
5 ,S. VETTEL ,23.533
13 ,P. MALDONADO ,23.615
3 ,D. RICCIARDO ,23.623
8 ,R. GROSJEAN ,23.668
26 ,D. KVYAT ,23.675
27 ,N. HULKENBERG ,23.685
12 ,F. NASR ,23.693
55 ,C. SAINZ ,23.732
11 ,S. PEREZ ,23.813
33 ,M. VERSTAPPEN ,23.883
9 ,M. ERICSSON ,24.136
22 ,J. BUTTON ,24.285
20 ,K. MAGNUSSEN ,24.403
NO ,DRIVER ,TIME
6 ,N. ROSBERG ,34.329
44 ,L. HAMILTON ,34.505
7 ,K. RAIKKONEN ,34.849
19 ,F. MASSA ,35.038
5 ,S. VETTEL ,35.154
77 ,V. BOTTAS ,35.238
55 ,C. SAINZ ,35.259
3 ,D. RICCIARDO ,35.317
33 ,M. VERSTAPPEN ,35.320
8 ,R. GROSJEAN ,35.351
26 ,D. KVYAT ,35.511
13 ,P. MALDONADO ,35.552
12 ,F. NASR ,35.694
11 ,S. PEREZ ,35.785
27 ,N. HULKENBERG ,35.884
9 ,M. ERICSSON ,36.402
22 ,J. BUTTON ,36.760
20 ,K. MAGNUSSEN ,37.111
