5 ,S. VETTEL
6 ,N. ROSBERG
3 ,D. RICCIARDO
LAP  ,TIME,LAP  ,TIME
1 ,14:05:33 ,29 ,1:45.615
2 ,1:47.989 ,30 ,1:46.137
3 ,1:47.156 ,31 ,1:45.599
4 ,1:47.112 ,32 ,1:46.232
5 ,1:47.730 ,33 ,1:46.059
6 ,1:46.275 ,34 ,1:45.472
7 ,1:45.477 ,35 ,1:46.492
8 ,1:45.445 ,36 P ,1:50.627
9 ,1:45.507 ,37 ,2:02.480
10 ,1:46.053 ,38 ,1:43.938
11 ,1:46.405 ,39 ,1:43.854
12 ,1:45.671 ,40 ,1:43.943
13 ,1:45.902 ,41 ,1:44.400
14 P ,1:50.443 ,42 ,1:45.084
15 ,2:03.858 ,43 ,1:45.321
16 ,1:46.524 ,44 ,1:43.976
17 ,1:44.850 ,45 ,1:43.477
18 ,1:44.932 ,46 ,1:43.245
19 ,1:44.927 ,47 ,1:43.635
20 ,1:45.179 ,48 ,1:43.951
21 ,1:46.423 ,49 ,1:43.914
22 ,1:45.291 ,50 ,1:43.695
23 ,1:44.939 ,51 ,1:43.507
24 ,1:45.208 ,52 ,1:43.417
25 ,1:44.484 ,53 ,2:06.342
26 ,1:45.366 ,54 ,2:14.112
27 ,1:47.462 ,55 ,1:47.115
28 ,1:45.446 ,56 ,1:54.390
LAP  ,TIME,LAP  ,TIME
1 ,14:05:25 ,29 ,1:44.006
2 ,1:44.903 ,30 P ,1:48.687
3 ,1:44.574 ,31 ,2:00.657
4 ,1:44.860 ,32 ,1:43.497
5 ,1:44.351 ,33 ,1:44.368
6 ,1:44.639 ,34 ,1:43.715
7 ,1:44.396 ,35 ,1:43.871
8 ,1:44.511 ,36 ,1:43.927
9 ,1:44.458 ,37 ,1:43.785
10 ,1:44.747 ,38 ,1:43.518
11 ,1:44.874 ,39 ,1:43.564
12 ,1:44.766 ,40 ,1:44.128
13 P ,1:49.454 ,41 ,1:43.698
14 ,2:01.552 ,42 ,1:43.848
15 ,1:43.018 ,43 ,1:43.824
16 ,1:43.787 ,44 ,1:43.774
17 ,1:44.128 ,45 ,1:44.025
18 ,1:44.009 ,46 ,1:43.419
19 ,1:43.744 ,47 ,1:43.336
20 ,1:43.662 ,48 ,1:43.460
21 ,1:43.555 ,49 ,1:43.715
22 ,1:43.509 ,50 ,1:43.487
23 ,1:43.592 ,51 ,1:43.758
24 ,1:43.880 ,52 ,1:44.044
25 ,1:43.616 ,53 ,1:43.674
26 ,1:43.605 ,54 ,2:13.584
27 ,1:43.649 ,55 ,2:20.693
28 ,1:44.126 ,56 ,2:33.156
LAP  ,TIME,LAP  ,TIME
1 ,14:05:24 ,29 ,1:43.613
2 ,1:44.518 ,30 ,1:43.508
3 ,1:44.297 ,31 P ,1:47.946
4 ,1:44.361 ,32 ,2:01.370
5 ,1:44.165 ,33 ,1:43.572
6 ,1:44.128 ,34 ,1:43.365
7 ,1:44.105 ,35 ,1:43.335
8 ,1:44.385 ,36 ,1:43.239
9 ,1:44.294 ,37 ,1:42.805
10 ,1:44.501 ,38 ,1:42.881
11 ,1:44.409 ,39 ,1:42.565
12 ,1:44.340 ,40 ,1:43.427
13 ,1:44.583 ,41 ,1:43.229
14 ,1:44.698 ,42 ,1:42.819
15 P ,1:49.469 ,43 ,1:43.772
16 ,2:01.104 ,44 ,1:42.860
17 ,1:43.937 ,45 ,1:42.690
18 ,1:44.171 ,46 ,1:42.803
19 ,1:44.388 ,47 ,1:42.897
20 ,1:43.831 ,48 ,1:43.363
21 ,1:43.541 ,49 ,1:43.568
22 ,1:43.613 ,50 ,1:43.890
