INTERMEDIATE 1 ,INTERMEDIATE 2 ,FINISH LINE
NO ,DRIVER ,KPH
13 ,P. MALDONADO ,290.1
77 ,V. BOTTAS ,286.3
19 ,F. MASSA ,285.7
11 ,S. PEREZ ,285.6
8 ,R. GROSJEAN ,285.6
7 ,K. RAIKKONEN ,285.4
9 ,M. ERICSSON ,284.5
5 ,S. VETTEL ,283.9
27 ,N. HULKENBERG ,283.5
3 ,D. RICCIARDO ,283.5
6 ,N. ROSBERG ,282.9
33 ,M. VERSTAPPEN ,281.9
14 ,F. ALONSO ,281.1
22 ,J. BUTTON ,280.5
12 ,F. NASR ,280.3
44 ,L. HAMILTON ,280.0
26 ,D. KVYAT ,279.2
55 ,C. SAINZ ,278.4
28 ,W. STEVENS ,278.3
98 ,R. MERHI ,273.2
NO ,DRIVER ,KPH
19 ,F. MASSA ,276.0
77 ,V. BOTTAS ,275.8
6 ,N. ROSBERG ,275.4
13 ,P. MALDONADO ,275.3
44 ,L. HAMILTON ,275.1
7 ,K. RAIKKONEN ,274.8
8 ,R. GROSJEAN ,274.2
11 ,S. PEREZ ,274.0
5 ,S. VETTEL ,273.6
3 ,D. RICCIARDO ,273.1
27 ,N. HULKENBERG ,272.3
12 ,F. NASR ,272.2
9 ,M. ERICSSON ,271.7
55 ,C. SAINZ ,269.7
14 ,F. ALONSO ,268.9
33 ,M. VERSTAPPEN ,268.5
26 ,D. KVYAT ,268.4
22 ,J. BUTTON ,267.1
28 ,W. STEVENS ,264.4
98 ,R. MERHI ,260.3
NO ,DRIVER ,KPH
7 ,K. RAIKKONEN ,264.7
13 ,P. MALDONADO ,263.6
77 ,V. BOTTAS ,262.8
19 ,F. MASSA ,262.5
11 ,S. PEREZ ,262.3
5 ,S. VETTEL ,262.2
12 ,F. NASR ,261.3
14 ,F. ALONSO ,261.3
9 ,M. ERICSSON ,260.9
3 ,D. RICCIARDO ,260.7
6 ,N. ROSBERG ,260.5
44 ,L. HAMILTON ,260.4
8 ,R. GROSJEAN ,258.8
55 ,C. SAINZ ,258.6
22 ,J. BUTTON ,258.1
27 ,N. HULKENBERG ,257.4
33 ,M. VERSTAPPEN ,256.5
26 ,D. KVYAT ,255.6
98 ,R. MERHI ,255.4
28 ,W. STEVENS ,253.3
