NO ,DRIVER ,ENTRANT ,LAP,TIME OF DAY,S,T  OP,"",DURATION ,TOTAL TIME
12 ,F. NASR ,Sauber F1 Team ,10 ,14:21:26 ,"",1 ,"",23.409 ,23.409
13 ,P. MALDONADO ,Lotus F1 Team ,11 ,14:23:09 ,"",1 ,"",22.470 ,22.470
11 ,S. PEREZ ,Sahara Force India F1 Team ,11 ,14:23:19 ,"",1 ,"",22.829 ,22.829
8 ,R. GROSJEAN ,Lotus F1 Team ,12 ,14:24:52 ,"",1 ,"",23.421 ,23.421
33 ,M. VERSTAPPEN ,Scuderia Toro Rosso ,12 ,14:24:59 ,"",1 ,"",24.256 ,24.256
14 ,F. ALONSO ,McLaren Honda ,12 ,14:25:14 ,"",1 ,"",23.238 ,23.238
5 ,S. VETTEL ,Scuderia Ferrari ,13 ,14:26:23 ,"",1 ,"",22.488 ,22.488
19 ,F. MASSA ,Williams Martini Racing ,13 ,14:26:33 ,"",1 ,"",23.145 ,23.145
44 ,L. HAMILTON ,Mercedes AMG Petronas F1 Team ,14 ,14:28:00 ,"",1 ,"",22.645 ,22.645
77 ,V. BOTTAS ,Williams Martini Racing ,14 ,14:28:20 ,"",1 ,"",23.084 ,23.084
9 ,M. ERICSSON ,Sauber F1 Team ,14 ,14:28:36 ,"",1 ,"",23.846 ,23.846
3 ,D. RICCIARDO ,Infiniti Red Bull Racing ,14 ,14:28:38 ,"",1 ,"",22.635 ,22.635
22 ,J. BUTTON ,McLaren Honda ,14 ,14:28:51 ,"",1 ,"",23.936 ,23.936
6 ,N. ROSBERG ,Mercedes AMG Petronas F1 Team ,15 ,14:29:48 ,"",1 ,"",22.483 ,22.483
7 ,K. RAIKKONEN ,Scuderia Ferrari ,15 ,14:29:55 ,"",1 ,"",22.818 ,22.818
28 ,W. STEVENS ,Manor Marussia F1 Team ,16 ,14:32:55 ,"",1 ,"",24.132 ,24.132
98 ,R. MERHI ,Manor Marussia F1 Team ,17 ,14:34:51 ,"",1 ,"",25.938 ,25.938
55 ,C. SAINZ ,Scuderia Toro Rosso ,19 ,14:37:55 ,"",1 ,"",23.795 ,23.795
11 ,S. PEREZ ,Sahara Force India F1 Team ,26 ,14:50:03 ,"",2 ,"",23.338 ,46.167
5 ,S. VETTEL ,Scuderia Ferrari ,30 ,14:56:09 ,"",2 ,"",22.444 ,44.932
9 ,M. ERICSSON ,Sauber F1 Team ,30 ,14:57:12 ,"",2 ,"",24.589 ,48.435
6 ,N. ROSBERG ,Mercedes AMG Petronas F1 Team ,31 ,14:57:50 ,"",2 ,"",22.829 ,45.312
12 ,F. NASR ,Sauber F1 Team ,31 ,14:58:53 ,"",2 ,"",23.732 ,47.141
8 ,R. GROSJEAN ,Lotus F1 Team ,32 ,15:00:30 ,"",2 ,"",23.605 ,47.026
33 ,M. VERSTAPPEN ,Scuderia Toro Rosso ,32 ,15:00:35 ,"",2 ,"",23.258 ,47.514
22 ,J. BUTTON ,McLaren Honda ,32 ,15:00:57 ,"",2 ,"",23.273 ,47.209
44 ,L. HAMILTON ,Mercedes AMG Petronas F1 Team ,33 ,15:01:11 ,"",2 ,"",22.235 ,44.880
NO ,DRIVER ,ENTRANT ,LAP,TIME OF DAY,S,T  OP,"",DURATION ,TOTAL TIME
13 ,P. MALDONADO ,Lotus F1 Team ,33 ,15:02:42 ,"",2 ,"",22.899 ,45.369
7 ,K. RAIKKONEN ,Scuderia Ferrari ,34 ,15:03:09 ,"",2 ,"",22.453 ,45.271
19 ,F. MASSA ,Williams Martini Racing ,34 ,15:03:37 ,"",2 ,"",23.317 ,46.462
77 ,V. BOTTAS ,Williams Martini Racing ,35 ,15:05:28 ,"",2 ,"",23.582 ,46.666
14 ,F. ALONSO ,McLaren Honda ,35 ,15:06:28 ,"",2 ,"",23.345 ,46.583
3 ,D. RICCIARDO ,Infiniti Red Bull Racing ,36 ,15:07:45 ,"",2 ,"",22.897 ,45.532
28 ,W. STEVENS ,Manor Marussia F1 Team ,38 ,15:13:29 ,"",2 ,"",24.054 ,48.186
55 ,C. SAINZ ,Scuderia Toro Rosso ,39 ,15:14:00 ,"",2 ,"",23.424 ,47.219
11 ,S. PEREZ ,Sahara Force India F1 Team ,41 ,15:16:42 ,"",3 ,"",23.144 ,1:09.311
98 ,R. MERHI ,Manor Marussia F1 Team ,40 ,15:17:19 ,"",2 ,"",24.088 ,50.026
13 ,P. MALDONADO ,Lotus F1 Team ,48 ,15:29:49 ,"",3 ,"",17.912 ,1:03.281
