SECTOR 1 ,SECTOR 2 ,SECTOR 3
NO ,DRIVER ,TIME
55 ,C. SAINZ ,26.954
5 ,S. VETTEL ,27.015
44 ,L. HAMILTON ,27.072
77 ,V. BOTTAS ,27.127
19 ,F. MASSA ,27.146
6 ,N. ROSBERG ,27.161
7 ,K. RAIKKONEN ,27.170
14 ,F. ALONSO ,27.195
11 ,S. PEREZ ,27.235
8 ,R. GROSJEAN ,27.271
12 ,F. NASR ,27.271
3 ,D. RICCIARDO ,27.272
33 ,M. VERSTAPPEN ,27.302
13 ,P. MALDONADO ,27.323
9 ,M. ERICSSON ,27.455
22 ,J. BUTTON ,27.695
28 ,W. STEVENS ,27.729
98 ,R. MERHI ,27.818
27 ,N. HULKENBERG ,27.820
26 ,D. KVYAT ,28.015
NO ,DRIVER ,TIME
44 ,L. HAMILTON ,31.092
55 ,C. SAINZ ,31.172
5 ,S. VETTEL ,31.190
6 ,N. ROSBERG ,31.201
7 ,K. RAIKKONEN ,31.214
19 ,F. MASSA ,31.321
77 ,V. BOTTAS ,31.489
14 ,F. ALONSO ,31.511
3 ,D. RICCIARDO ,31.520
33 ,M. VERSTAPPEN ,31.525
12 ,F. NASR ,31.557
8 ,R. GROSJEAN ,31.579
13 ,P. MALDONADO ,31.595
9 ,M. ERICSSON ,31.634
11 ,S. PEREZ ,31.715
22 ,J. BUTTON ,31.803
98 ,R. MERHI ,32.149
28 ,W. STEVENS ,32.207
27 ,N. HULKENBERG ,32.347
26 ,D. KVYAT ,32.477
NO ,DRIVER ,TIME
44 ,L. HAMILTON ,43.813
5 ,S. VETTEL ,43.938
6 ,N. ROSBERG ,44.091
19 ,F. MASSA ,44.096
8 ,R. GROSJEAN ,44.198
7 ,K. RAIKKONEN ,44.263
77 ,V. BOTTAS ,44.285
55 ,C. SAINZ ,44.373
3 ,D. RICCIARDO ,44.394
13 ,P. MALDONADO ,44.494
33 ,M. VERSTAPPEN ,44.498
11 ,S. PEREZ ,44.529
9 ,M. ERICSSON ,44.556
12 ,F. NASR ,44.571
14 ,F. ALONSO ,44.623
22 ,J. BUTTON ,44.772
98 ,R. MERHI ,45.308
27 ,N. HULKENBERG ,45.478
28 ,W. STEVENS ,45.478
26 ,D. KVYAT ,45.660
