INTERMEDIATE 1 ,INTERMEDIATE 2 ,FINISH LINE
NO ,DRIVER ,KPH
7 ,K. RAIKKONEN ,270.4
5 ,S. VETTEL ,270.2
44 ,L. HAMILTON ,269.4
26 ,D. KVYAT ,268.1
19 ,F. MASSA ,264.7
77 ,V. BOTTAS ,264.5
12 ,F. NASR ,261.1
22 ,J. BUTTON ,259.7
33 ,M. VERSTAPPEN ,259.5
27 ,N. HULKENBERG ,259.4
6 ,N. ROSBERG ,259.0
8 ,R. GROSJEAN ,258.5
3 ,D. RICCIARDO ,257.8
55 ,C. SAINZ ,256.7
9 ,M. ERICSSON ,256.7
98 ,R. MERHI ,255.3
13 ,P. MALDONADO ,254.6
11 ,S. PEREZ ,253.7
14 ,F. ALONSO ,252.5
28 ,W. STEVENS ,244.7
NO ,DRIVER ,KPH
44 ,L. HAMILTON ,270.1
26 ,D. KVYAT ,259.2
33 ,M. VERSTAPPEN ,256.9
5 ,S. VETTEL ,254.8
11 ,S. PEREZ ,254.4
8 ,R. GROSJEAN ,253.9
7 ,K. RAIKKONEN ,252.4
28 ,W. STEVENS ,250.6
22 ,J. BUTTON ,250.4
12 ,F. NASR ,249.1
55 ,C. SAINZ ,248.9
98 ,R. MERHI ,248.9
3 ,D. RICCIARDO ,248.2
77 ,V. BOTTAS ,247.9
6 ,N. ROSBERG ,247.8
19 ,F. MASSA ,247.1
13 ,P. MALDONADO ,244.0
27 ,N. HULKENBERG ,243.5
9 ,M. ERICSSON ,242.4
14 ,F. ALONSO ,237.7
NO ,DRIVER ,KPH
7 ,K. RAIKKONEN ,282.3
77 ,V. BOTTAS ,282.1
19 ,F. MASSA ,281.9
27 ,N. HULKENBERG ,281.7
8 ,R. GROSJEAN ,281.3
44 ,L. HAMILTON ,281.3
11 ,S. PEREZ ,280.8
9 ,M. ERICSSON ,278.8
6 ,N. ROSBERG ,278.8
5 ,S. VETTEL ,278.7
55 ,C. SAINZ ,278.6
12 ,F. NASR ,277.8
13 ,P. MALDONADO ,277.4
33 ,M. VERSTAPPEN ,276.9
26 ,D. KVYAT ,276.4
22 ,J. BUTTON ,273.6
3 ,D. RICCIARDO ,273.4
14 ,F. ALONSO ,268.1
98 ,R. MERHI ,267.4
28 ,W. STEVENS ,267.2
