NO ,DRIVER ,ENTRANT ,LAP,TIME OF DAY,S,T  OP,"",DURATION ,TOTAL TIME
27 ,N. HULKENBERG ,Sahara Force India F1 Team ,10 ,14:19:46 ,"",1 ,"",22.659 ,22.659
26 ,D. KVYAT ,Infiniti Red Bull Racing ,11 ,14:21:18 ,"",1 ,"",22.667 ,22.667
22 ,J. BUTTON ,McLaren Honda ,11 ,14:21:23 ,"",1 ,"",22.589 ,22.589
12 ,F. NASR ,Sauber F1 Team ,12 ,14:22:55 ,"",1 ,"",22.677 ,22.677
44 ,L. HAMILTON ,Mercedes AMG Petronas F1 Team ,13 ,14:23:49 ,"",1 ,"",24.586 ,24.586
3 ,D. RICCIARDO ,Infiniti Red Bull Racing ,13 ,14:24:18 ,"",1 ,"",22.440 ,22.440
33 ,M. VERSTAPPEN ,Scuderia Toro Rosso ,13 ,14:24:19 ,"",1 ,"",24.396 ,24.396
5 ,S. VETTEL ,Scuderia Ferrari ,14 ,14:25:21 ,"",1 ,"",21.762 ,21.762
19 ,F. MASSA ,Williams Martini Racing ,14 ,14:25:37 ,"",1 ,"",22.139 ,22.139
13 ,P. MALDONADO ,Lotus F1 Team ,14 ,14:25:48 ,"",1 ,"",24.976 ,24.976
55 ,C. SAINZ ,Scuderia Toro Rosso ,14 ,14:25:58 ,"",1 ,"",22.859 ,22.859
6 ,N. ROSBERG ,Mercedes AMG Petronas F1 Team ,15 ,14:26:45 ,"",1 ,"",21.870 ,21.870
77 ,V. BOTTAS ,Williams Martini Racing ,15 ,14:27:01 ,"",1 ,"",22.082 ,22.082
8 ,R. GROSJEAN ,Lotus F1 Team ,15 ,14:27:28 ,"",1 ,"",23.309 ,23.309
13 ,P. MALDONADO ,Lotus F1 Team ,15 ,14:27:46 ,"",2 ,"",32.459 ,57.435
28 ,W. STEVENS ,Manor Marussia F1 Team ,16 ,14:29:49 ,"",1 ,"",24.687 ,24.687
7 ,K. RAIKKONEN ,Scuderia Ferrari ,17 ,14:30:09 ,"",1 ,"",22.623 ,22.623
98 ,R. MERHI ,Manor Marussia F1 Team ,17 ,14:31:33 ,"",1 ,"",24.631 ,24.631
9 ,M. ERICSSON ,Sauber F1 Team ,18 ,14:32:23 ,"",1 ,"",25.272 ,25.272
11 ,S. PEREZ ,Sahara Force India F1 Team ,19 ,14:33:59 ,"",1 ,"",22.468 ,22.468
14 ,F. ALONSO ,McLaren Honda ,21 ,14:37:01 ,"",1 ,"",23.728 ,23.728
27 ,N. HULKENBERG ,Sahara Force India F1 Team ,26 ,14:45:13 ,"",2 ,"",22.534 ,45.193
22 ,J. BUTTON ,McLaren Honda ,27 ,14:47:05 ,"",2 ,"",23.327 ,45.916
98 ,R. MERHI ,Manor Marussia F1 Team ,30 ,14:53:03 ,"",2 ,"",23.070 ,47.701
44 ,L. HAMILTON ,Mercedes AMG Petronas F1 Team ,32 ,14:53:17 ,"",2 ,"",22.727 ,47.313
19 ,F. MASSA ,Williams Martini Racing ,32 ,14:53:41 ,"",2 ,"",22.629 ,44.768
28 ,W. STEVENS ,Manor Marussia F1 Team ,32 ,14:56:02 ,"",2 ,"",23.043 ,47.730
NO ,DRIVER ,ENTRANT ,LAP,TIME OF DAY,S,T  OP,"",DURATION ,TOTAL TIME
11 ,S. PEREZ ,Sahara Force India F1 Team ,36 ,15:01:03 ,"",2 ,"",22.426 ,44.894
33 ,M. VERSTAPPEN ,Scuderia Toro Rosso ,37 ,15:02:19 ,"",2 ,"",22.607 ,47.003
26 ,D. KVYAT ,Infiniti Red Bull Racing ,38 ,15:03:48 ,"",2 ,"",22.273 ,44.940
12 ,F. NASR ,Sauber F1 Team ,39 ,15:05:35 ,"",2 ,"",23.186 ,45.863
5 ,S. VETTEL ,Scuderia Ferrari ,40 ,15:05:38 ,"",2 ,"",21.836 ,43.598
8 ,R. GROSJEAN ,Lotus F1 Team ,40 ,15:06:43 ,"",2 ,"",33.256 ,56.565
7 ,K. RAIKKONEN ,Scuderia Ferrari ,41 ,15:07:35 ,"",2 ,"",21.789 ,44.412
77 ,V. BOTTAS ,Williams Martini Racing ,42 ,15:08:57 ,"",2 ,"",21.800 ,43.882
3 ,D. RICCIARDO ,Infiniti Red Bull Racing ,42 ,15:09:42 ,"",2 ,"",24.884 ,47.324
55 ,C. SAINZ ,Scuderia Toro Rosso ,42 ,15:10:08 ,"",2 ,"",22.178 ,45.037
13 ,P. MALDONADO ,Lotus F1 Team ,43 ,15:12:01 ,"",3 ,"",22.575 ,1:20.010
6 ,N. ROSBERG ,Mercedes AMG Petronas F1 Team ,45 ,15:13:00 ,"",2 ,"",22.452 ,44.322
22 ,J. BUTTON ,McLaren Honda ,44 ,15:13:49 ,"",3 ,"",24.066 ,1:09.982
9 ,M. ERICSSON ,Sauber F1 Team ,45 ,15:15:00 ,"",2 ,"",22.872 ,48.144
19 ,F. MASSA ,Williams Martini Racing ,47 ,15:17:04 ,"",3 ,"",22.257 ,1:07.025
28 ,W. STEVENS ,Manor Marussia F1 Team ,47 ,15:20:31 ,"",3 ,"",22.796 ,1:10.526
27 ,N. HULKENBERG ,Sahara Force India F1 Team ,49 ,15:21:24 ,"",3 ,"",22.545 ,1:07.738
44 ,L. HAMILTON ,Mercedes AMG Petronas F1 Team ,51 ,15:22:23 ,"",3 ,"",21.965 ,1:09.278
98 ,R. MERHI ,Manor Marussia F1 Team ,49 ,15:24:15 ,"",3 ,"",24.200 ,1:11.901
