SECTOR 1 ,SECTOR 2 ,SECTOR 3
NO ,DRIVER ,TIME
44 ,L. HAMILTON ,24.139
6 ,N. ROSBERG ,24.336
7 ,K. RAIKKONEN ,24.451
77 ,V. BOTTAS ,24.575
19 ,F. MASSA ,24.625
55 ,C. SAINZ ,24.642
11 ,S. PEREZ ,24.678
8 ,R. GROSJEAN ,24.764
5 ,S. VETTEL ,24.772
27 ,N. HULKENBERG ,24.834
26 ,D. KVYAT ,24.850
33 ,M. VERSTAPPEN ,24.997
12 ,F. NASR ,25.033
22 ,J. BUTTON ,25.063
9 ,M. ERICSSON ,25.072
13 ,P. MALDONADO ,25.079
3 ,D. RICCIARDO ,25.181
28 ,W. STEVENS ,25.658
98 ,R. MERHI ,25.701
14 ,F. ALONSO ,25.788
NO ,DRIVER ,TIME
44 ,L. HAMILTON ,33.360
6 ,N. ROSBERG ,33.861
7 ,K. RAIKKONEN ,33.875
5 ,S. VETTEL ,34.159
19 ,F. MASSA ,34.339
77 ,V. BOTTAS ,34.406
3 ,D. RICCIARDO ,34.424
27 ,N. HULKENBERG ,34.500
26 ,D. KVYAT ,34.540
33 ,M. VERSTAPPEN ,34.593
55 ,C. SAINZ ,34.595
22 ,J. BUTTON ,34.698
8 ,R. GROSJEAN ,34.707
9 ,M. ERICSSON ,34.838
11 ,S. PEREZ ,34.977
12 ,F. NASR ,34.990
13 ,P. MALDONADO ,35.202
14 ,F. ALONSO ,35.360
28 ,W. STEVENS ,35.528
98 ,R. MERHI ,35.991
NO ,DRIVER ,TIME
44 ,L. HAMILTON ,30.687
6 ,N. ROSBERG ,30.912
7 ,K. RAIKKONEN ,31.047
19 ,F. MASSA ,31.194
77 ,V. BOTTAS ,31.265
22 ,J. BUTTON ,31.400
3 ,D. RICCIARDO ,31.436
27 ,N. HULKENBERG ,31.554
5 ,S. VETTEL ,31.591
9 ,M. ERICSSON ,31.820
12 ,F. NASR ,31.835
55 ,C. SAINZ ,31.875
8 ,R. GROSJEAN ,31.954
26 ,D. KVYAT ,32.017
33 ,M. VERSTAPPEN ,32.042
14 ,F. ALONSO ,32.043
11 ,S. PEREZ ,32.128
13 ,P. MALDONADO ,32.259
28 ,W. STEVENS ,32.320
98 ,R. MERHI ,32.519
