POS,NO ,DRIVER ,NAT ,ENTRANT ,TIME,ON,GAP ,"",KPH,TIME OF DAY
1 ,44 ,L. HAMILTON ,GBR ,Mercedes AMG Petronas F1 Team ,1:28.270 ,54 ,"","",189.849 ,15:27:12
2 ,6 ,N. ROSBERG ,GER ,Mercedes AMG Petronas F1 Team ,1:29.109 ,53 ,0.839 ,0.822,188.061 ,15:25:23
3 ,7 ,K. RAIKKONEN ,FIN ,Scuderia Ferrari ,1:29.931 ,47 ,1.661 ,"",186.342 ,15:17:00
"","","","","","","","",0.443,"",""
4 ,19 ,F. MASSA ,BRA ,Williams Martini Racing ,1:30.374 ,51 ,2.104 ,0.337,185.429 ,15:23:28
5 ,77 ,V. BOTTAS ,FIN ,Williams Martini Racing ,1:30.711 ,44 ,2.441 ,0.026,184.740 ,15:12:20
6 ,5 ,S. VETTEL ,GER ,Scuderia Ferrari ,1:30.737 ,61 ,2.467 ,0.151,184.687 ,15:38:04
7 ,27 ,N. HULKENBERG ,GER ,Sahara Force India F1 Team ,1:30.888 ,51 ,2.618 ,"",184.380 ,15:24:48
"","","","","","","","",0.236,"",""
8 ,3 ,D. RICCIARDO ,AUS ,Infiniti Red Bull Racing ,1:31.124 ,56 ,2.854 ,0.032,183.903 ,15:31:36
9 ,55 ,C. SAINZ ,ESP ,Scuderia Toro Rosso ,1:31.156 ,62 ,2.886 ,0.006,183.838 ,15:41:21
10 ,22 ,J. BUTTON ,GBR ,McLaren Honda ,1:31.162 ,46 ,2.892 ,0.725,183.826 ,15:17:16
11 ,26 ,D. KVYAT ,RUS ,Infiniti Red Bull Racing ,1:31.887 ,40 ,3.617 ,0.009,182.376 ,15:07:15
12 ,33 ,M. VERSTAPPEN ,NED ,Scuderia Toro Rosso ,1:31.896 ,46 ,3.626 ,0.032,182.358 ,15:16:37
13 ,12 ,F. NASR ,BRA ,Sauber F1 Team ,1:31.928 ,41 ,3.658 ,0.004,182.294 ,15:09:03
14 ,11 ,S. PEREZ ,MEX ,Sahara Force India F1 Team ,1:31.932 ,38 ,3.662 ,0.013,182.286 ,15:04:30
15 ,8 ,R. GROSJEAN ,FRA ,Lotus F1 Team ,1:31.945 ,46 ,3.675 ,"",182.261 ,15:16:31
"","","","","","","","",0.277,"",""
16 ,9 ,M. ERICSSON ,SWE ,Sauber F1 Team ,1:32.222 ,52 ,3.952 ,0.690,181.713 ,15:26:11
17 ,13 ,P. MALDONADO ,VEN ,Lotus F1 Team ,1:32.912 ,17 ,4.642 ,"",180.364 ,14:31:26
"","","","","","","","",0.475,"",""
18 ,14 ,F. ALONSO ,ESP ,McLaren Honda ,1:33.387 ,23 ,5.117 ,0.268,179.446 ,14:40:30
19 ,28 ,W. STEVENS ,GBR ,Manor Marussia F1 Team ,1:33.655 ,49 ,5.385 ,"",178.933 ,15:24:02
"","","","","","","","",0.556,"",""
20 ,98 ,R. MERHI ,ESP ,Manor Marussia F1 Team ,1:34.211 ,51 ,5.941 ,"",177.877 ,15:27:49
