SECTOR 1 ,SECTOR 2 ,SECTOR 3
NO ,DRIVER ,TIME
44 ,L. HAMILTON ,19.732
6 ,N. ROSBERG ,19.884
5 ,S. VETTEL ,19.942
13 ,P. MALDONADO ,20.058
3 ,D. RICCIARDO ,20.066
26 ,D. KVYAT ,20.068
7 ,K. RAIKKONEN ,20.073
33 ,M. VERSTAPPEN ,20.075
55 ,C. SAINZ ,20.217
11 ,S. PEREZ ,20.229
8 ,R. GROSJEAN ,20.231
27 ,N. HULKENBERG ,20.310
19 ,F. MASSA ,20.310
22 ,J. BUTTON ,20.323
14 ,F. ALONSO ,20.346
12 ,F. NASR ,20.552
9 ,M. ERICSSON ,20.624
77 ,V. BOTTAS ,20.745
28 ,W. STEVENS ,21.274
98 ,R. MERHI ,21.516
NO ,DRIVER ,TIME
44 ,L. HAMILTON ,34.904
6 ,N. ROSBERG ,35.116
5 ,S. VETTEL ,35.182
3 ,D. RICCIARDO ,35.339
26 ,D. KVYAT ,35.343
7 ,K. RAIKKONEN ,35.350
8 ,R. GROSJEAN ,35.527
22 ,J. BUTTON ,35.578
27 ,N. HULKENBERG ,35.658
11 ,S. PEREZ ,35.698
13 ,P. MALDONADO ,35.724
55 ,C. SAINZ ,35.729
33 ,M. VERSTAPPEN ,35.760
19 ,F. MASSA ,35.887
14 ,F. ALONSO ,36.090
9 ,M. ERICSSON ,36.186
12 ,F. NASR ,36.319
77 ,V. BOTTAS ,36.503
98 ,R. MERHI ,37.383
28 ,W. STEVENS ,37.441
NO ,DRIVER ,TIME
44 ,L. HAMILTON ,20.391
6 ,N. ROSBERG ,20.416
3 ,D. RICCIARDO ,20.520
33 ,M. VERSTAPPEN ,20.685
5 ,S. VETTEL ,20.721
26 ,D. KVYAT ,20.732
7 ,K. RAIKKONEN ,20.764
55 ,C. SAINZ ,20.815
11 ,S. PEREZ ,20.881
22 ,J. BUTTON ,20.901
8 ,R. GROSJEAN ,20.908
13 ,P. MALDONADO ,20.911
27 ,N. HULKENBERG ,21.007
19 ,F. MASSA ,21.040
14 ,F. ALONSO ,21.119
12 ,F. NASR ,21.166
77 ,V. BOTTAS ,21.178
9 ,M. ERICSSON ,21.702
28 ,W. STEVENS ,21.853
98 ,R. MERHI ,21.866
