INTERMEDIATE 1 ,INTERMEDIATE 2 ,FINISH LINE
NO ,DRIVER ,KPH
33 ,M. VERSTAPPEN ,204.9
5 ,S. VETTEL ,204.2
77 ,V. BOTTAS ,203.6
26 ,D. KVYAT ,203.4
27 ,N. HULKENBERG ,201.7
19 ,F. MASSA ,201.4
22 ,J. BUTTON ,201.0
7 ,K. RAIKKONEN ,200.2
14 ,F. ALONSO ,200.1
9 ,M. ERICSSON ,199.9
3 ,D. RICCIARDO ,199.5
44 ,L. HAMILTON ,198.8
98 ,R. MERHI ,198.8
6 ,N. ROSBERG ,197.4
12 ,F. NASR ,197.3
55 ,C. SAINZ ,197.0
11 ,S. PEREZ ,196.4
8 ,R. GROSJEAN ,195.5
28 ,W. STEVENS ,192.0
13 ,P. MALDONADO ,185.5
NO ,DRIVER ,KPH
3 ,D. RICCIARDO ,191.5
5 ,S. VETTEL ,190.7
33 ,M. VERSTAPPEN ,188.4
55 ,C. SAINZ ,188.3
77 ,V. BOTTAS ,188.0
26 ,D. KVYAT ,188.0
19 ,F. MASSA ,186.5
6 ,N. ROSBERG ,186.3
44 ,L. HAMILTON ,186.1
7 ,K. RAIKKONEN ,186.0
12 ,F. NASR ,185.0
11 ,S. PEREZ ,185.0
8 ,R. GROSJEAN ,184.5
22 ,J. BUTTON ,184.1
9 ,M. ERICSSON ,183.9
27 ,N. HULKENBERG ,183.3
14 ,F. ALONSO ,179.3
98 ,R. MERHI ,178.4
13 ,P. MALDONADO ,177.5
28 ,W. STEVENS ,174.6
NO ,DRIVER ,KPH
11 ,S. PEREZ ,273.6
19 ,F. MASSA ,272.3
9 ,M. ERICSSON ,271.2
7 ,K. RAIKKONEN ,270.5
5 ,S. VETTEL ,270.4
77 ,V. BOTTAS ,270.1
27 ,N. HULKENBERG ,268.1
3 ,D. RICCIARDO ,267.7
33 ,M. VERSTAPPEN ,267.7
6 ,N. ROSBERG ,266.7
55 ,C. SAINZ ,266.4
8 ,R. GROSJEAN ,266.3
12 ,F. NASR ,266.2
44 ,L. HAMILTON ,265.6
22 ,J. BUTTON ,263.0
26 ,D. KVYAT ,261.7
28 ,W. STEVENS ,258.5
13 ,P. MALDONADO ,257.8
98 ,R. MERHI ,257.3
14 ,F. ALONSO ,255.5
