SECTOR 1 ,SECTOR 2 ,SECTOR 3
NO ,DRIVER ,TIME
5 ,S. VETTEL ,21.497
7 ,K. RAIKKONEN ,21.542
6 ,N. ROSBERG ,21.661
26 ,D. KVYAT ,21.711
44 ,L. HAMILTON ,21.712
19 ,F. MASSA ,21.750
8 ,R. GROSJEAN ,21.775
33 ,M. VERSTAPPEN ,21.986
77 ,V. BOTTAS ,21.997
13 ,P. MALDONADO ,22.010
27 ,N. HULKENBERG ,22.094
9 ,M. ERICSSON ,22.115
22 ,J. BUTTON ,22.118
3 ,D. RICCIARDO ,22.134
55 ,C. SAINZ ,22.136
12 ,F. NASR ,22.274
11 ,S. PEREZ ,22.277
14 ,F. ALONSO ,22.341
98 ,R. MERHI ,22.549
28 ,W. STEVENS ,22.595
NO ,DRIVER ,TIME
7 ,K. RAIKKONEN ,24.717
6 ,N. ROSBERG ,24.778
5 ,S. VETTEL ,24.808
19 ,F. MASSA ,24.829
44 ,L. HAMILTON ,24.869
77 ,V. BOTTAS ,24.968
8 ,R. GROSJEAN ,25.048
26 ,D. KVYAT ,25.073
27 ,N. HULKENBERG ,25.149
13 ,P. MALDONADO ,25.175
33 ,M. VERSTAPPEN ,25.176
12 ,F. NASR ,25.259
9 ,M. ERICSSON ,25.282
55 ,C. SAINZ ,25.316
11 ,S. PEREZ ,25.356
22 ,J. BUTTON ,25.380
3 ,D. RICCIARDO ,25.436
14 ,F. ALONSO ,25.470
28 ,W. STEVENS ,25.892
98 ,R. MERHI ,25.990
NO ,DRIVER ,TIME
5 ,S. VETTEL ,30.658
6 ,N. ROSBERG ,30.666
19 ,F. MASSA ,30.682
7 ,K. RAIKKONEN ,30.728
8 ,R. GROSJEAN ,30.817
44 ,L. HAMILTON ,30.823
77 ,V. BOTTAS ,30.836
27 ,N. HULKENBERG ,30.838
13 ,P. MALDONADO ,30.995
33 ,M. VERSTAPPEN ,31.002
26 ,D. KVYAT ,31.082
11 ,S. PEREZ ,31.140
55 ,C. SAINZ ,31.171
9 ,M. ERICSSON ,31.231
22 ,J. BUTTON ,31.330
12 ,F. NASR ,31.363
3 ,D. RICCIARDO ,31.397
14 ,F. ALONSO ,31.627
28 ,W. STEVENS ,32.005
98 ,R. MERHI ,32.105
