SECTOR 1 ,SECTOR 2 ,SECTOR 3
NO ,DRIVER ,TIME
6 ,N. ROSBERG ,20.913
44 ,L. HAMILTON ,20.936
7 ,K. RAIKKONEN ,21.068
77 ,V. BOTTAS ,21.080
8 ,R. GROSJEAN ,21.129
14 ,F. ALONSO ,21.246
3 ,D. RICCIARDO ,21.249
13 ,P. MALDONADO ,21.253
26 ,D. KVYAT ,21.269
55 ,C. SAINZ ,21.290
27 ,N. HULKENBERG ,21.329
33 ,M. VERSTAPPEN ,21.380
9 ,M. ERICSSON ,21.421
12 ,F. NASR ,21.424
11 ,S. PEREZ ,21.512
5 ,S. VETTEL ,21.541
19 ,F. MASSA ,21.550
28 ,W. STEVENS ,22.260
98 ,R. MERHI ,22.399
NO ,DRIVER ,TIME
44 ,L. HAMILTON ,23.850
6 ,N. ROSBERG ,23.934
13 ,P. MALDONADO ,24.081
8 ,R. GROSJEAN ,24.116
7 ,K. RAIKKONEN ,24.194
77 ,V. BOTTAS ,24.207
27 ,N. HULKENBERG ,24.283
11 ,S. PEREZ ,24.360
3 ,D. RICCIARDO ,24.380
26 ,D. KVYAT ,24.381
55 ,C. SAINZ ,24.459
33 ,M. VERSTAPPEN ,24.548
9 ,M. ERICSSON ,24.558
12 ,F. NASR ,24.572
14 ,F. ALONSO ,24.604
5 ,S. VETTEL ,24.842
19 ,F. MASSA ,25.073
28 ,W. STEVENS ,25.415
98 ,R. MERHI ,25.449
NO ,DRIVER ,TIME
44 ,L. HAMILTON ,29.477
6 ,N. ROSBERG ,29.636
7 ,K. RAIKKONEN ,29.731
77 ,V. BOTTAS ,29.815
27 ,N. HULKENBERG ,29.836
8 ,R. GROSJEAN ,29.843
13 ,P. MALDONADO ,29.924
11 ,S. PEREZ ,30.062
5 ,S. VETTEL ,30.191
26 ,D. KVYAT ,30.202
9 ,M. ERICSSON ,30.212
33 ,M. VERSTAPPEN ,30.252
55 ,C. SAINZ ,30.253
3 ,D. RICCIARDO ,30.287
12 ,F. NASR ,30.355
14 ,F. ALONSO ,30.426
19 ,F. MASSA ,31.131
98 ,R. MERHI ,31.232
28 ,W. STEVENS ,31.381
