INTERMEDIATE 1 ,INTERMEDIATE 2 ,FINISH LINE
NO ,DRIVER ,KPH
77 ,V. BOTTAS ,321.9
27 ,N. HULKENBERG ,317.4
13 ,P. MALDONADO ,316.7
11 ,S. PEREZ ,315.2
44 ,L. HAMILTON ,313.4
8 ,R. GROSJEAN ,313.2
19 ,F. MASSA ,312.4
6 ,N. ROSBERG ,312.1
12 ,F. NASR ,311.5
5 ,S. VETTEL ,311.5
9 ,M. ERICSSON ,309.8
33 ,M. VERSTAPPEN ,307.8
26 ,D. KVYAT ,306.9
3 ,D. RICCIARDO ,304.8
55 ,C. SAINZ ,301.0
14 ,F. ALONSO ,300.5
7 ,K. RAIKKONEN ,299.8
98 ,R. MERHI ,294.2
22 ,J. BUTTON ,277.2
28 ,W. STEVENS ,266.9
NO ,DRIVER ,KPH
19 ,F. MASSA ,233.8
3 ,D. RICCIARDO ,232.6
5 ,S. VETTEL ,232.3
13 ,P. MALDONADO ,232.2
6 ,N. ROSBERG ,231.8
77 ,V. BOTTAS ,231.7
26 ,D. KVYAT ,229.7
44 ,L. HAMILTON ,229.5
12 ,F. NASR ,229.4
9 ,M. ERICSSON ,229.3
11 ,S. PEREZ ,228.6
27 ,N. HULKENBERG ,228.3
8 ,R. GROSJEAN ,227.1
33 ,M. VERSTAPPEN ,226.9
55 ,C. SAINZ ,222.5
98 ,R. MERHI ,222.3
22 ,J. BUTTON ,207.8
28 ,W. STEVENS ,99.1
NO ,DRIVER ,KPH
5 ,S. VETTEL ,286.8
77 ,V. BOTTAS ,286.3
13 ,P. MALDONADO ,285.1
11 ,S. PEREZ ,284.5
27 ,N. HULKENBERG ,283.8
19 ,F. MASSA ,283.8
6 ,N. ROSBERG ,281.6
44 ,L. HAMILTON ,281.6
8 ,R. GROSJEAN ,281.3
12 ,F. NASR ,278.7
26 ,D. KVYAT ,277.6
9 ,M. ERICSSON ,277.5
33 ,M. VERSTAPPEN ,277.2
3 ,D. RICCIARDO ,277.2
55 ,C. SAINZ ,272.6
98 ,R. MERHI ,270.5
22 ,J. BUTTON ,260.9
28 ,W. STEVENS ,136.5
