SECTOR 1 ,SECTOR 2 ,SECTOR 3
NO ,DRIVER ,TIME
77 ,V. BOTTAS ,17.360
19 ,F. MASSA ,17.410
5 ,S. VETTEL ,17.423
44 ,L. HAMILTON ,17.428
6 ,N. ROSBERG ,17.436
13 ,P. MALDONADO ,17.454
27 ,N. HULKENBERG ,17.563
11 ,S. PEREZ ,17.576
3 ,D. RICCIARDO ,17.656
8 ,R. GROSJEAN ,17.698
12 ,F. NASR ,17.701
9 ,M. ERICSSON ,17.747
26 ,D. KVYAT ,17.773
33 ,M. VERSTAPPEN ,17.792
55 ,C. SAINZ ,17.928
98 ,R. MERHI ,18.158
22 ,J. BUTTON ,25.577
28 ,W. STEVENS ,25.862
NO ,DRIVER ,TIME
5 ,S. VETTEL ,31.592
3 ,D. RICCIARDO ,31.607
6 ,N. ROSBERG ,31.639
13 ,P. MALDONADO ,31.693
44 ,L. HAMILTON ,31.727
19 ,F. MASSA ,31.802
26 ,D. KVYAT ,31.850
11 ,S. PEREZ ,32.024
77 ,V. BOTTAS ,32.059
33 ,M. VERSTAPPEN ,32.078
9 ,M. ERICSSON ,32.091
27 ,N. HULKENBERG ,32.152
55 ,C. SAINZ ,32.210
8 ,R. GROSJEAN ,32.372
12 ,F. NASR ,32.380
98 ,R. MERHI ,33.135
22 ,J. BUTTON ,34.491
28 ,W. STEVENS ,40.634
NO ,DRIVER ,TIME
6 ,N. ROSBERG ,22.144
44 ,L. HAMILTON ,22.204
5 ,S. VETTEL ,22.241
19 ,F. MASSA ,22.276
3 ,D. RICCIARDO ,22.293
13 ,P. MALDONADO ,22.402
33 ,M. VERSTAPPEN ,22.451
77 ,V. BOTTAS ,22.499
9 ,M. ERICSSON ,22.545
27 ,N. HULKENBERG ,22.564
26 ,D. KVYAT ,22.609
8 ,R. GROSJEAN ,22.676
11 ,S. PEREZ ,22.710
12 ,F. NASR ,22.783
55 ,C. SAINZ ,22.802
98 ,R. MERHI ,23.407
22 ,J. BUTTON ,23.981
28 ,W. STEVENS ,43.607
