NAME,Stint 1,Stint 2,Stint 3,Stint 4
Nico Rosberg,Super (12),Soft (6),Medium (39),
Lewis Hamilton,Super (16),Medium (41),,
Sebastian Vettel,Super (13),Super (22),Soft (22),
Daniel Ricciardo,Super (12),Super (6),Soft (24),Super (15)
Felipe Massa,Super (11),Soft (7),Medium (39),
Romain Grosjean,Soft (18),Medium (39),,
Nico Hulkenberg,Soft (16),Medium (41),,
Valtteri Bottas,Soft (17),Medium (40),,
Carlos Sainz Jnr,Super (8),Soft (10),Soft (13),Medium (26)
Max Verstappen,Super (13),Soft (5),Soft (14),Medium (25)
Jolyon Palmer,Super (12),Soft (6),Medium (39),
Kevin Magnussen,Super (1),Soft (17),Medium (39),
Sergio Perez,Soft (16),Medium (41),,
Jenson Button,Soft (15),Soft (3),Super (12),Medium (26)
Felipe Nasr,Super (10),Soft (8),Medium (38),
Pascal Wehrlein,Super (11),Soft (7),Soft (14),Medium (24)
Marcus Ericsson,Super (11),Soft (7),Medium (20),
Kimi Raikkonen,Super (16),Super (5),,
Rio Haryanto,Super (12),Soft (5),,
Esteban Gutierrez,Soft (16),,,
Fernando Alonso,Super (12),Soft (4),,
