SECTOR 1 ,SECTOR 2 ,SECTOR 3
NO ,DRIVER ,TIME
44 ,L. HAMILTON ,27.779
6 ,N. ROSBERG ,28.018
5 ,S. VETTEL ,28.093
7 ,K. RAIKKONEN ,28.199
19 ,F. MASSA ,28.254
33 ,M. VERSTAPPEN ,28.316
27 ,N. HULKENBERG ,28.335
55 ,C. SAINZ ,28.358
11 ,S. PEREZ ,28.375
3 ,D. RICCIARDO ,28.456
77 ,V. BOTTAS ,28.525
22 ,J. BUTTON ,28.620
14 ,F. ALONSO ,28.634
8 ,R. GROSJEAN ,28.732
21 ,E. GUTIERREZ ,28.758
9 ,M. ERICSSON ,28.789
30 ,J. PALMER ,28.929
20 ,K. MAGNUSSEN ,29.038
26 ,D. KVYAT ,29.228
12 ,F. NASR ,29.288
94 ,P. WEHRLEIN ,30.049
88 ,R. HARYANTO ,30.132
NO ,DRIVER ,TIME
44 ,L. HAMILTON ,22.380
6 ,N. ROSBERG ,22.526
5 ,S. VETTEL ,22.603
7 ,K. RAIKKONEN ,22.743
19 ,F. MASSA ,22.835
11 ,S. PEREZ ,22.871
55 ,C. SAINZ ,22.913
3 ,D. RICCIARDO ,22.918
27 ,N. HULKENBERG ,22.921
77 ,V. BOTTAS ,22.923
33 ,M. VERSTAPPEN ,22.930
14 ,F. ALONSO ,23.037
22 ,J. BUTTON ,23.117
21 ,E. GUTIERREZ ,23.213
20 ,K. MAGNUSSEN ,23.296
30 ,J. PALMER ,23.324
12 ,F. NASR ,23.344
8 ,R. GROSJEAN ,23.352
9 ,M. ERICSSON ,23.430
26 ,D. KVYAT ,23.516
94 ,P. WEHRLEIN ,23.633
88 ,R. HARYANTO ,23.771
NO ,DRIVER ,TIME
6 ,N. ROSBERG ,33.653
44 ,L. HAMILTON ,33.678
5 ,S. VETTEL ,33.979
7 ,K. RAIKKONEN ,34.091
55 ,C. SAINZ ,34.105
3 ,D. RICCIARDO ,34.108
33 ,M. VERSTAPPEN ,34.133
19 ,F. MASSA ,34.369
77 ,V. BOTTAS ,34.442
14 ,F. ALONSO ,34.454
11 ,S. PEREZ ,34.466
27 ,N. HULKENBERG ,34.486
22 ,J. BUTTON ,34.567
21 ,E. GUTIERREZ ,34.674
20 ,K. MAGNUSSEN ,34.894
30 ,J. PALMER ,34.940
9 ,M. ERICSSON ,35.089
8 ,R. GROSJEAN ,35.099
26 ,D. KVYAT ,35.164
12 ,F. NASR ,35.326
88 ,R. HARYANTO ,35.724
94 ,P. WEHRLEIN ,35.960
