NO ,DRIVER ,TIME
3 ,D. RICCIARDO ,29.718
5 ,S. VETTEL ,30.058
6 ,N. ROSBERG ,30.204
44 ,L. HAMILTON ,30.315
33 ,M. VERSTAPPEN ,30.363
7 ,K. RAIKKONEN ,30.413
55 ,C. SAINZ ,30.598
22 ,J. BUTTON ,30.633
14 ,F. ALONSO ,30.744
19 ,F. MASSA ,30.843
20 ,K. MAGNUSSEN ,30.892
11 ,S. PEREZ ,30.956
21 ,E. GUTIERREZ ,31.027
77 ,V. BOTTAS ,31.036
8 ,R. GROSJEAN ,31.040
12 ,F. NASR ,31.066
27 ,N. HULKENBERG ,31.066
30 ,J. PALMER ,31.100
94 ,P. WEHRLEIN ,31.151
9 ,M. ERICSSON ,31.278
88 ,R. HARYANTO ,31.320
NO ,DRIVER ,TIME
6 ,N. ROSBERG ,23.574
3 ,D. RICCIARDO ,23.613
5 ,S. VETTEL ,23.626
44 ,L. HAMILTON ,23.829
22 ,J. BUTTON ,23.865
7 ,K. RAIKKONEN ,23.975
33 ,M. VERSTAPPEN ,23.994
55 ,C. SAINZ ,24.040
19 ,F. MASSA ,24.225
94 ,P. WEHRLEIN ,24.229
12 ,F. NASR ,24.252
27 ,N. HULKENBERG ,24.256
77 ,V. BOTTAS ,24.263
11 ,S. PEREZ ,24.269
14 ,F. ALONSO ,24.279
20 ,K. MAGNUSSEN ,24.281
30 ,J. PALMER ,24.401
8 ,R. GROSJEAN ,24.485
21 ,E. GUTIERREZ ,24.554
88 ,R. HARYANTO ,24.586
9 ,M. ERICSSON ,24.685
NO ,DRIVER ,TIME
6 ,N. ROSBERG ,35.638
3 ,D. RICCIARDO ,35.666
5 ,S. VETTEL ,35.715
7 ,K. RAIKKONEN ,36.303
44 ,L. HAMILTON ,36.352
33 ,M. VERSTAPPEN ,36.438
55 ,C. SAINZ ,36.472
22 ,J. BUTTON ,36.655
12 ,F. NASR ,36.936
20 ,K. MAGNUSSEN ,36.970
19 ,F. MASSA ,37.054
8 ,R. GROSJEAN ,37.068
14 ,F. ALONSO ,37.183
77 ,V. BOTTAS ,37.187
30 ,J. PALMER ,37.243
94 ,P. WEHRLEIN ,37.266
21 ,E. GUTIERREZ ,37.287
27 ,N. HULKENBERG ,37.347
11 ,S. PEREZ ,37.350
9 ,M. ERICSSON ,37.355
88 ,R. HARYANTO ,37.375
