POS,NO ,DRIVER ,NAT ,ENTRANT ,TIME,ON,GAP ,"",KPH,TIME OF DAY
1 ,3 ,D. RICCIARDO ,AUS ,Red Bull Racing ,1:28.997 ,49 ,"","",214.510 ,17:43:43
2 ,5 ,S. VETTEL ,GER ,Scuderia Ferrari ,1:29.951 ,23 ,0.954 ,"",212.235 ,17:03:29
"","","","","","","","",0.606,"",""
3 ,6 ,N. ROSBERG ,GER ,Mercedes AMG Petronas F1 Team ,1:30.557 ,21 ,1.560 ,0.089,210.815 ,17:00:31
4 ,44 ,L. HAMILTON ,GBR ,Mercedes AMG Petronas F1 Team ,1:30.646 ,48 ,1.649 ,0.055,210.608 ,17:41:53
5 ,7 ,K. RAIKKONEN ,FIN ,Scuderia Ferrari ,1:30.701 ,21 ,1.704 ,"",210.480 ,17:00:32
"","","","","","","","",0.815,"",""
6 ,33 ,M. VERSTAPPEN ,NED ,Scuderia Toro Rosso ,1:31.516 ,44 ,2.519 ,0.155,208.606 ,17:36:34
7 ,55 ,C. SAINZ ,ESP ,Scuderia Toro Rosso ,1:31.671 ,23 ,2.674 ,0.013,208.253 ,17:03:40
8 ,22 ,J. BUTTON ,GBR ,McLaren Honda ,1:31.684 ,33 ,2.687 ,"",208.223 ,17:19:55
"","","","","","","","",0.604,"",""
9 ,19 ,F. MASSA ,BRA ,Williams Martini Racing ,1:32.288 ,39 ,3.291 ,0.164,206.861 ,17:28:28
10 ,20 ,K. MAGNUSSEN ,DEN ,Renault Sport F1 Team ,1:32.452 ,45 ,3.455 ,0.101,206.494 ,17:38:17
11 ,14 ,F. ALONSO ,ESP ,McLaren Honda ,1:32.553 ,14 ,3.556 ,0.120,206.268 ,16:29:44
12 ,94 ,P. WEHRLEIN ,GER ,Manor Racing MRT ,1:32.673 ,34 ,3.676 ,0.038,206.001 ,17:21:47
13 ,12 ,F. NASR ,BRA ,Sauber F1 Team ,1:32.711 ,48 ,3.714 ,0.014,205.917 ,17:43:05
14 ,77 ,V. BOTTAS ,FIN ,Williams Martini Racing ,1:32.725 ,51 ,3.728 ,0.055,205.886 ,17:47:21
15 ,11 ,S. PEREZ ,MEX ,Sahara Force India F1 Team ,1:32.780 ,39 ,3.783 ,0.053,205.764 ,17:28:53
16 ,27 ,N. HULKENBERG ,GER ,Sahara Force India F1 Team ,1:32.833 ,49 ,3.836 ,0.029,205.646 ,17:44:15
17 ,8 ,R. GROSJEAN ,FRA ,Haas F1 Team ,1:32.862 ,48 ,3.865 ,0.093,205.582 ,17:42:40
18 ,30 ,J. PALMER ,GBR ,Renault Sport F1 Team ,1:32.955 ,14 ,3.958 ,0.043,205.376 ,16:29:55
19 ,21 ,E. GUTIERREZ ,MEX ,Haas F1 Team ,1:32.998 ,4 ,4.001 ,"",205.281 ,16:13:55
"","","","","","","","",0.849,"",""
20 ,88 ,R. HARYANTO ,INA ,Manor Racing MRT ,1:33.847 ,15 ,4.850 ,0.045,203.424 ,16:31:45
21 ,9 ,M. ERICSSON ,SWE ,Sauber F1 Team ,1:33.892 ,15 ,4.895 ,"",203.327 ,16:31:32
