NO ,DRIVER ,TIME
6 ,N. ROSBERG ,29.817
44 ,L. HAMILTON ,29.864
94 ,P. WEHRLEIN ,29.911
7 ,K. RAIKKONEN ,30.038
47 ,S. VANDOORNE ,30.120
27 ,N. HULKENBERG ,30.135
3 ,D. RICCIARDO ,30.138
12 ,F. NASR ,30.180
26 ,D. KVYAT ,30.234
20 ,K. MAGNUSSEN ,30.235
8 ,R. GROSJEAN ,30.248
33 ,M. VERSTAPPEN ,30.334
11 ,S. PEREZ ,30.369
19 ,F. MASSA ,30.485
77 ,V. BOTTAS ,30.506
88 ,R. HARYANTO ,30.584
9 ,M. ERICSSON ,30.594
55 ,C. SAINZ ,30.945
22 ,J. BUTTON ,31.107
21 ,E. GUTIERREZ ,31.222
NO ,DRIVER ,TIME
7 ,K. RAIKKONEN ,41.147
12 ,F. NASR ,41.311
6 ,N. ROSBERG ,41.327
27 ,N. HULKENBERG ,41.392
44 ,L. HAMILTON ,41.412
47 ,S. VANDOORNE ,41.562
33 ,M. VERSTAPPEN ,41.653
26 ,D. KVYAT ,41.712
94 ,P. WEHRLEIN ,41.734
11 ,S. PEREZ ,41.795
20 ,K. MAGNUSSEN ,41.866
8 ,R. GROSJEAN ,41.953
3 ,D. RICCIARDO ,41.990
9 ,M. ERICSSON ,42.119
88 ,R. HARYANTO ,42.424
77 ,V. BOTTAS ,42.600
55 ,C. SAINZ ,42.736
19 ,F. MASSA ,42.959
22 ,J. BUTTON ,43.401
21 ,E. GUTIERREZ ,43.584
NO ,DRIVER ,TIME
44 ,L. HAMILTON ,23.320
6 ,N. ROSBERG ,23.338
7 ,K. RAIKKONEN ,23.352
33 ,M. VERSTAPPEN ,23.470
88 ,R. HARYANTO ,23.506
11 ,S. PEREZ ,23.525
3 ,D. RICCIARDO ,23.552
12 ,F. NASR ,23.566
94 ,P. WEHRLEIN ,23.628
8 ,R. GROSJEAN ,23.646
26 ,D. KVYAT ,23.655
27 ,N. HULKENBERG ,23.661
20 ,K. MAGNUSSEN ,23.670
47 ,S. VANDOORNE ,23.693
77 ,V. BOTTAS ,23.877
19 ,F. MASSA ,23.962
9 ,M. ERICSSON ,24.116
55 ,C. SAINZ ,24.286
21 ,E. GUTIERREZ ,24.461
22 ,J. BUTTON ,24.492
