44 ,0,1:29.689
5 ,1.527 ,1:31.216
19 ,2.797 ,1:32.486
77 ,3.294 ,1:32.983
11 ,4.163 ,1:33.852
6 ,4.483 ,1:34.172
8 ,5.417 ,1:35.106
27 ,7.969 ,1:37.658
9 ,8.315 ,1:38.004
22 ,8.637 ,1:38.326
55 ,9.327 ,1:39.016
14 ,9.981 ,1:39.670
3 ,10.065 ,1:39.754
7 ,10.900 ,1:40.589
28 ,11.152 ,1:40.841
26 ,11.204 ,1:40.893
98 ,12.997 ,1:42.686
12 ,PIT  ,1:44.315
33 ,PIT  ,1:46.853
13 ,PIT  ,2:19.892
44 ,0,1:28.033
5 ,2.105 ,1:28.611
19 ,3.905 ,1:29.141
77 ,4.709 ,1:29.448
6 ,5.599 ,1:29.149
11 ,6.801 ,1:30.671
27 ,10.089 ,1:30.153
9 ,10.710 ,1:30.428
22 ,12.110 ,1:31.506
55 ,13.032 ,1:31.738
3 ,13.479 ,1:31.447
7 ,13.733 ,1:30.866
14 ,15.291 ,1:33.343
26 ,15.729 ,1:32.558
28 ,17.019 ,1:33.900
98 ,18.606 ,1:33.642
33 ,34.047 ,1:44.916
12 ,38.644 ,1:52.051
44 ,0,1:28.351
5 ,2.440 ,1:28.686
19 ,4.413 ,1:28.859
77 ,5.400 ,1:29.042
6 ,6.316 ,1:29.068
11 ,8.332 ,1:29.882
27 ,11.381 ,1:29.643
9 ,12.348 ,1:29.989
22 ,14.951 ,1:31.192
55 ,15.962 ,1:31.281
7 ,16.503 ,1:31.121
3 ,17.063 ,1:31.935
26 ,18.747 ,1:31.369
14 ,19.494 ,1:32.554
28 ,21.115 ,1:32.447
98 ,23.416 ,1:33.161
33 ,35.843 ,1:30.147
12 ,40.236 ,1:29.943
44 ,0,1:28.542
5 ,2.248 ,1:28.350
19 ,4.847 ,1:28.976
77 ,5.689 ,1:28.831
6 ,6.232 ,1:28.458
11 ,9.183 ,1:29.393
27 ,12.582 ,1:29.743
9 ,13.715 ,1:29.909
22 ,17.622 ,1:31.213
55 ,18.295 ,1:30.875
7 ,18.833 ,1:30.872
3 ,20.009 ,1:31.488
26 ,21.274 ,1:31.069
14 ,22.675 ,1:31.723
28 ,24.824 ,1:32.251
98 ,27.644 ,1:32.770
33 ,37.145 ,1:29.844
12 ,41.717 ,1:30.023
44 ,0,1:28.065
5 ,2.718 ,1:28.535
19 ,5.560 ,1:28.778
77 ,6.697 ,1:29.073
6 ,7.179 ,1:29.012
11 ,10.129 ,1:29.011
27 ,14.015 ,1:29.498
9 ,15.316 ,1:29.666
22 ,20.568 ,1:31.011
55 ,21.172 ,1:30.942
7 ,21.307 ,1:30.539
3 ,22.315 ,1:30.371
26 ,23.839 ,1:30.630
14 ,26.438 ,1:31.828
28 ,28.905 ,1:32.146
98 ,32.294 ,1:32.715
33 ,38.669 ,1:29.589
12 ,43.834 ,1:30.182
44 ,0,1:27.804
5 ,3.232 ,1:28.318
19 ,6.500 ,1:28.744
77 ,7.750 ,1:28.857
6 ,8.244 ,1:28.869
11 ,11.380 ,1:29.055
27 ,15.662 ,1:29.451
9 ,16.942 ,1:29.430
7 ,23.415 ,1:29.912
22 ,24.184 ,1:31.420
55 ,24.795 ,1:31.427
3 ,25.304 ,1:30.793
26 ,26.155 ,1:30.120
14 ,30.253 ,1:31.619
28 ,33.101 ,1:32.000
98 ,37.156 ,1:32.666
33 ,40.439 ,1:29.574
12 ,46.140 ,1:30.110
44 ,0,1:27.780
5 ,3.947 ,1:28.495
19 ,7.540 ,1:28.820
77 ,8.860 ,1:28.890
6 ,9.436 ,1:28.972
11 ,13.148 ,1:29.548
27 ,17.443 ,1:29.561
9 ,18.630 ,1:29.468
7 ,24.888 ,1:29.253
55 ,28.030 ,1:31.015
3 ,28.954 ,1:31.430
22 ,29.515 ,1:33.111
26 ,29.714 ,1:31.339
14 ,34.096 ,1:31.623
28 ,37.475 ,1:32.154
98 ,42.234 ,1:32.858
33 ,42.482 ,1:29.823
12 ,48.432 ,1:30.072
44 ,0,1:27.975
5 ,4.592 ,1:28.620
