6 ,0,2:17.102
44 ,1.155 ,2:18.257
7 ,2.542 ,2:19.644
77 ,3.378 ,2:20.480
5 ,4.347 ,2:21.449
11 ,6.588 ,2:23.690
26 ,8.497 ,2:25.599
8 ,PIT  ,2:27.768
3 ,10.686 ,2:27.788
22 ,13.074 ,2:30.176
12 ,14.228 ,2:31.330
19 ,15.724 ,2:32.826
13 ,16.596 ,2:33.698
14 ,17.638 ,2:34.740
98 ,18.724 ,2:35.826
28 ,19.897 ,2:36.999
55 ,21.826 ,2:38.928
33 ,PIT  ,3:19.317
6 ,0,2:40.614
44 ,1.357 ,2:40.816
7 ,2.377 ,2:40.449
77 ,3.640 ,2:40.876
5 ,4.275 ,2:40.542
11 ,5.510 ,2:39.536
26 ,6.737 ,2:38.854
3 ,7.246 ,2:37.174
22 ,9.579 ,2:37.119
12 ,10.385 ,2:36.771
19 ,11.469 ,2:36.359
13 ,12.801 ,2:36.819
14 ,14.120 ,2:37.096
98 ,15.446 ,2:37.336
28 ,16.054 ,2:36.771
55 ,17.148 ,2:35.936
8 ,18.169 ,2:48.117
33 ,65.789 ,2:44.188
6 ,0,2:34.027
44 ,0.752 ,2:33.422
7 ,1.713 ,2:33.363
77 ,2.046 ,2:32.433
5 ,2.392 ,2:32.144
11 ,3.078 ,2:31.595
26 ,3.486 ,2:30.776
3 ,3.906 ,2:30.687
22 ,4.447 ,2:28.895
12 ,4.886 ,2:28.528
19 ,5.500 ,2:28.058
13 ,6.030 ,2:27.256
14 ,6.521 ,2:26.428
98 ,7.691 ,2:26.272
28 ,8.081 ,2:26.054
55 ,8.489 ,2:25.368
8 ,8.839 ,2:24.697
33 ,20.784 ,1:49.022
6 ,0,1:43.415
44 ,0.942 ,1:43.605
77 ,2.438 ,1:43.807
7 ,3.598 ,1:45.300
5 ,4.076 ,1:45.099
11 ,5.134 ,1:45.471
26 ,5.941 ,1:45.870
3 ,6.469 ,1:45.978
12 ,7.321 ,1:45.850
22 ,8.052 ,1:47.020
19 ,8.951 ,1:46.866
13 ,9.700 ,1:47.085
14 ,10.699 ,1:47.593
55 ,11.224 ,1:46.150
8 ,12.258 ,1:46.834
98 ,14.635 ,1:50.359
28 ,15.320 ,1:50.654
33 ,23.219 ,1:45.850
6 ,0,1:43.410
44 ,1.075 ,1:43.543
77 ,2.671 ,1:43.643
7 ,4.181 ,1:43.993
5 ,4.626 ,1:43.960
11 ,6.619 ,1:44.895
26 ,7.837 ,1:45.306
3 ,8.357 ,1:45.298
12 ,9.540 ,1:45.629
22 ,10.503 ,1:45.861
19 ,11.240 ,1:45.699
13 ,12.265 ,1:45.975
14 ,13.259 ,1:45.970
55 ,14.153 ,1:46.339
8 ,15.077 ,1:46.229
98 ,19.567 ,1:48.342
28 ,20.711 ,1:48.801
33 ,25.026 ,1:45.217
6 ,0,1:43.133
44 ,0.830 ,1:42.888
77 ,2.778 ,1:43.240
7 ,4.850 ,1:43.802
5 ,5.455 ,1:43.962
11 ,7.695 ,1:44.209
26 ,9.543 ,1:44.839
3 ,10.418 ,1:45.194
12 ,11.802 ,1:45.395
22 ,12.808 ,1:45.438
19 ,13.611 ,1:45.504
13 ,14.399 ,1:45.267
55 ,16.254 ,1:45.234
14 ,16.810 ,1:46.684
8 ,17.392 ,1:45.448
98 ,24.676 ,1:48.242
28 ,25.893 ,1:48.315
33 ,27.402 ,1:45.509
44 ,0,1:42.644
77 ,3.018 ,1:43.714
7 ,5.502 ,1:44.126
5 ,6.080 ,1:44.099
11 ,8.682 ,1:44.461
26 ,10.483 ,1:44.414
3 ,11.465 ,1:44.521
12 ,13.885 ,1:45.557
19 ,14.868 ,1:44.731
22 ,15.739 ,1:46.405
13 ,16.706 ,1:45.781
55 ,17.808 ,1:45.028
8 ,19.184 ,1:45.266
14 ,19.900 ,1:46.564
6 ,PIT  ,2:11.662
98 ,29.169 ,1:47.967
33 ,29.878 ,1:45.950
28 ,31.321 ,1:48.902
44 ,0,1:43.445
77 ,2.478 ,1:42.905
7 ,5.635 ,1:43.578
5 ,6.285 ,1:43.650
11 ,9.586 ,1:44.349
26 ,11.833 ,1:44.795
3 ,12.966 ,1:44.946
12 ,15.558 ,1:45.118
19 ,16.144 ,1:44.721
22 ,17.855 ,1:45.561
13 ,18.802 ,1:45.541
55 ,20.045 ,1:45.682
8 ,21.459 ,1:45.720
14 ,22.273 ,1:45.818
33 ,31.700 ,1:45.267
98 ,34.611 ,1:48.887
28 ,36.407 ,1:48.531
44 ,0,1:42.911
77 ,2.305 ,1:42.738
7 ,6.234 ,1:43.510
5 ,6.909 ,1:43.535
11 ,10.655 ,1:43.980
26 ,13.365 ,1:44.443
3 ,14.390 ,1:44.335
12 ,17.975 ,1:45.328
19 ,18.715 ,1:45.482
13 ,21.127 ,1:45.236
22 ,21.754 ,1:46.810
55 ,22.522 ,1:45.388
8 ,23.991 ,1:45.443
14 ,25.527 ,1:46.165
33 ,34.035 ,1:45.246
98 ,40.273 ,1:48.573
28 ,41.459 ,1:47.963
44 ,0,1:41.946
77 ,3.121 ,1:42.762
7 ,7.328 ,1:43.040
5 ,8.224 ,1:43.261
11 ,13.175 ,1:44.466
26 ,15.820 ,1:44.401
3 ,16.614 ,1:44.170
12 ,20.854 ,1:44.825
19 ,21.633 ,1:44.864
13 ,23.833 ,1:44.652
22 ,25.622 ,1:45.814
55 ,26.339 ,1:45.763
8 ,27.549 ,1:45.504
14 ,29.302 ,1:45.721
33 ,36.848 ,1:44.759
98 ,46.524 ,1:48.197
28 ,47.695 ,1:48.182
44 ,0,1:42.137
77 ,3.649 ,1:42.665
7 ,8.240 ,1:43.049
5 ,9.255 ,1:43.168
11 ,15.761 ,1:44.723
26 ,18.032 ,1:44.349
3 ,18.785 ,1:44.308
12 ,23.625 ,1:44.908
19 ,24.566 ,1:45.070
13 ,26.585 ,1:44.889
55 ,29.037 ,1:44.835
22 ,30.158 ,1:46.673
8 ,31.068 ,1:45.656
14 ,32.674 ,1:45.509
33 ,39.444 ,1:44.733
98 ,52.308 ,1:47.921
28 ,53.665 ,1:48.107
44 ,0,1:55.523
77 ,1.680 ,1:53.554
7 ,8.827 ,1:56.110
5 ,9.955 ,1:56.223
11 ,PIT  ,2:01.607
26 ,23.648 ,2:01.139
12 ,28.489 ,2:00.387
3 ,PIT  ,2:06.565
19 ,31.282 ,2:02.239
13 ,32.954 ,2:01.892
55 ,PIT  ,2:07.206
22 ,PIT  ,2:07.650
14 ,42.482 ,2:05.331
33 ,50.322 ,2:06.401
98 ,68.635 ,2:11.850
28 ,70.100 ,2:11.958
44 ,0,2:52.159
77 ,1.077 ,2:51.556
7 ,2.721 ,2:46.053
5 ,3.578 ,2:45.782
26 ,4.473 ,2:32.984
12 ,5.342 ,2:29.012
19 ,6.577 ,2:27.454
13 ,7.299 ,2:26.504
11 ,8.784 ,2:39.098
3 ,10.976 ,2:33.308
14 ,PIT  ,2:20.694
33 ,13.742 ,2:15.579
55 ,22.597 ,2:34.036
22 ,24.312 ,2:34.186
28 ,35.444 ,2:17.503
98 ,PIT  ,2:20.713
44 ,0,2:46.980
77 ,0.724 ,2:46.627
7 ,2.174 ,2:46.433
5 ,3.217 ,2:46.619
26 ,4.456 ,2:46.963
12 ,5.610 ,2:47.248
19 ,6.533 ,2:46.936
13 ,7.230 ,2:46.911
11 ,8.032 ,2:46.228
3 ,8.763 ,2:44.767
33 ,9.778 ,2:43.016
55 ,10.626 ,2:35.009
22 ,12.577 ,2:35.245
14 ,13.152 ,2:49.115
98 ,13.926 ,2:23.717
28 ,PIT  ,2:27.874
44 ,0,2:38.572
77 ,0.621 ,2:38.469
7 ,2.130 ,2:38.528
5 ,2.798 ,2:38.153
26 ,3.685 ,2:37.801
12 ,4.332 ,2:37.294
19 ,5.290 ,2:37.329
13 ,5.828 ,2:37.170
11 ,7.049 ,2:37.589
3 ,7.838 ,2:37.647
33 ,9.049 ,2:37.843
55 ,10.411 ,2:38.357
22 ,13.137 ,2:39.132
14 ,14.709 ,2:40.129
98 ,16.688 ,2:41.334
28 ,17.692 ,2:39.926
44 ,0,2:31.192
77 ,0.779 ,2:31.350
7 ,1.853 ,2:30.915
5 ,2.176 ,2:30.570
26 ,2.628 ,2:30.135
12 ,3.009 ,2:29.869
19 ,3.345 ,2:29.247
13 ,3.779 ,2:29.143
11 ,4.126 ,2:28.269
3 ,4.295 ,2:27.649
33 ,4.757 ,2:26.900
55 ,5.005 ,2:25.786
22 ,5.575 ,2:23.630
14 ,6.853 ,2:23.336
98 ,9.151 ,2:23.655
28 ,10.065 ,2:23.565
44 ,0,1:41.709
77 ,2.051 ,1:42.981
5 ,4.899 ,1:44.432
7 ,6.292 ,1:46.148
26 ,7.767 ,1:46.848
12 ,8.576 ,1:47.276
19 ,9.387 ,1:47.751
11 ,9.948 ,1:47.531
13 ,10.572 ,1:48.502
55 ,11.151 ,1:47.855
3 ,11.422 ,1:48.836
33 ,12.044 ,1:48.996
22 ,12.465 ,1:48.599
14 ,12.844 ,1:47.700
98 ,18.412 ,1:50.970
28 ,PIT  ,1:55.314
44 ,0,1:41.499
77 ,2.721 ,1:42.169
5 ,6.041 ,1:42.641
7 ,7.551 ,1:42.758
26 ,9.819 ,1:43.551
12 ,11.066 ,1:43.989
19 ,12.170 ,1:44.282
11 ,12.883 ,1:44.434
13 ,13.808 ,1:44.735
3 ,15.003 ,1:45.080
55 ,15.851 ,1:46.199
33 ,16.624 ,1:46.079
22 ,17.269 ,1:46.303
14 ,18.028 ,1:46.683
98 ,24.707 ,1:47.794
28 ,51.509 ,2:09.338
44 ,0,1:41.751
77 ,3.599 ,1:42.629
5 ,6.642 ,1:42.352
7 ,8.442 ,1:42.642
26 ,12.218 ,1:44.150
12 ,13.681 ,1:44.366
19 ,14.684 ,1:44.265
11 ,15.327 ,1:44.195
13 ,16.233 ,1:44.176
3 ,17.373 ,1:44.121
55 ,18.616 ,1:44.516
33 ,19.755 ,1:44.882
22 ,20.391 ,1:44.873
14 ,21.314 ,1:45.037
98 ,31.146 ,1:48.190
28 ,57.612 ,1:47.854
44 ,0,1:41.820
77 ,4.480 ,1:42.701
5 ,7.011 ,1:42.189
7 ,9.148 ,1:42.526
26 ,13.872 ,1:43.474
12 ,15.809 ,1:43.948
19 ,16.595 ,1:43.731
11 ,17.400 ,1:43.893
13 ,18.971 ,1:44.558
3 ,19.524 ,1:43.971
55 ,21.073 ,1:44.277
33 ,22.961 ,1:45.026
22 ,23.685 ,1:45.114
14 ,24.663 ,1:45.169
98 ,36.471 ,1:47.145
28 ,63.777 ,1:47.985
44 ,0,1:41.336
77 ,5.494 ,1:42.350
5 ,7.874 ,1:42.199
7 ,10.066 ,1:42.254
26 ,15.906 ,1:43.370
12 ,17.881 ,1:43.408
19 ,18.954 ,1:43.695
