44 ,0,1:58.693
26 ,1.406 ,2:00.099
3 ,2.192 ,2:00.885
6 ,2.957 ,2:01.650
11 ,3.904 ,2:02.597
27 ,4.377 ,2:03.070
5 ,5.018 ,2:03.711
33 ,5.973 ,2:04.666
22 ,6.530 ,2:05.223
7 ,7.167 ,2:05.860
55 ,8.071 ,2:06.764
9 ,11.199 ,2:09.892
77 ,PIT  ,2:10.102
12 ,11.566 ,2:10.259
19 ,11.993 ,2:10.686
13 ,12.729 ,2:11.422
8 ,PIT  ,2:38.246
53 ,PIT  ,2:50.794
14 ,PIT  ,2:51.512
28 ,PIT  ,3:02.097
44 ,0,1:57.277
26 ,1.267 ,1:57.138
3 ,2.320 ,1:57.405
6 ,4.396 ,1:58.716
11 ,5.889 ,1:59.262
27 ,6.726 ,1:59.626
5 ,7.138 ,1:59.397
33 ,7.834 ,1:59.138
7 ,9.000 ,1:59.110
55 ,10.123 ,1:59.329
22 ,11.292 ,2:02.039
9 ,14.684 ,2:00.762
19 ,15.532 ,2:00.816
13 ,19.038 ,2:03.586
12 ,PIT  ,2:09.911
8 ,66.857 ,2:24.581
77 ,79.873 ,3:05.741
14 ,82.736 ,2:27.194
53 ,91.628 ,2:36.804
44 ,0,1:57.404
26 ,0.731 ,1:56.868
3 ,1.966 ,1:57.050
6 ,4.456 ,1:57.464
11 ,7.313 ,1:58.828
27 ,8.299 ,1:58.977
5 ,8.793 ,1:59.059
33 ,9.485 ,1:59.055
7 ,10.219 ,1:58.623
55 ,11.404 ,1:58.685
22 ,14.305 ,2:00.417
9 ,16.719 ,1:59.439
19 ,17.523 ,1:59.395
13 ,21.389 ,1:59.755
8 ,70.092 ,2:00.639
14 ,85.724 ,2:00.392
12 ,PIT  ,3:02.021
53 ,97.113 ,2:02.889
77 ,114.408 ,2:31.939
44 ,0,1:58.083
26 ,0.351 ,1:57.703
3 ,1.545 ,1:57.662
6 ,4.581 ,1:58.208
11 ,8.694 ,1:59.464
5 ,10.211 ,1:59.501
27 ,11.026 ,2:00.810
33 ,11.202 ,1:59.800
7 ,11.883 ,1:59.747
55 ,12.479 ,1:59.158
22 ,17.086 ,2:00.864
9 ,18.047 ,1:59.411
19 ,19.707 ,2:00.267
13 ,23.488 ,2:00.182
8 ,73.749 ,2:01.740
14 ,88.168 ,2:00.527
53 ,102.586 ,2:03.556
12 ,114.591 ,2:23.857
44 ,0,2:05.181
26 ,1.416 ,2:06.246
3 ,4.906 ,2:08.542
6 ,7.001 ,2:07.601
11 ,10.097 ,2:06.584
5 ,12.367 ,2:07.337
33 ,13.586 ,2:07.565
7 ,16.640 ,2:09.938
55 ,17.433 ,2:10.135
27 ,18.233 ,2:12.388
22 ,20.803 ,2:08.898
9 ,21.904 ,2:09.038
19 ,24.342 ,2:09.816
13 ,26.977 ,2:08.670
77 ,PIT  ,2:46.130
8 ,85.141 ,2:16.573
14 ,98.136 ,2:15.149
53 ,114.918 ,2:17.513
12 ,128.840 ,2:19.430
44 ,0,2:17.859
26 ,1.163 ,2:17.606
3 ,3.921 ,2:16.874
6 ,4.664 ,2:15.522
11 ,8.143 ,2:15.905
5 ,10.799 ,2:16.291
33 ,13.235 ,2:17.508
7 ,14.812 ,2:16.031
55 ,15.676 ,2:16.102
27 ,16.996 ,2:16.622
22 ,20.108 ,2:17.164
9 ,20.859 ,2:16.814
19 ,24.544 ,2:18.061
13 ,26.359 ,2:17.241
77 ,PIT  ,2:34.823
8 ,85.391 ,2:18.109
14 ,97.826 ,2:17.549
53 ,114.976 ,2:17.917
12 ,128.736 ,2:17.755
44 ,0,2:17.016
26 ,0.895 ,2:16.748
3 ,1.838 ,2:14.933
6 ,2.730 ,2:15.082
11 ,9.544 ,2:18.417
5 ,12.856 ,2:19.073
33 ,14.073 ,2:17.854
7 ,16.110 ,2:18.314
55 ,16.887 ,2:18.227
27 ,17.211 ,2:17.231
22 ,19.040 ,2:15.948
9 ,20.323 ,2:16.480
19 ,23.740 ,2:16.212
13 ,28.114 ,2:18.771
8 ,81.128 ,2:12.753
14 ,88.621 ,2:07.811
53 ,106.177 ,2:08.217
12 ,115.768 ,2:04.048
44 ,0,2:04.793
6 ,0.773 ,2:02.836
26 ,1.358 ,2:05.256
