6 ,0,1:20.546
44 ,0.663 ,1:21.209
5 ,1.578 ,1:22.124
7 ,2.137 ,1:22.683
77 ,3.146 ,1:23.692
26 ,4.225 ,1:24.771
27 ,4.597 ,1:25.143
19 ,5.338 ,1:25.884
11 ,6.020 ,1:26.566
33 ,6.082 ,1:26.628
8 ,6.965 ,1:27.511
12 ,6.973 ,1:27.519
22 ,7.828 ,1:28.374
3 ,7.851 ,1:28.397
13 ,8.435 ,1:28.981
14 ,8.984 ,1:29.530
53 ,9.717 ,1:30.263
9 ,9.786 ,1:30.332
28 ,10.698 ,1:31.244
6 ,0,1:16.717
44 ,0.994 ,1:17.048
5 ,2.175 ,1:17.314
7 ,2.908 ,1:17.488
77 ,4.838 ,1:18.409
26 ,5.697 ,1:18.189
27 ,6.183 ,1:18.303
19 ,7.228 ,1:18.607
11 ,7.894 ,1:18.591
33 ,8.530 ,1:19.165
12 ,9.196 ,1:18.940
8 ,9.410 ,1:19.162
3 ,10.166 ,1:19.032
22 ,11.129 ,1:20.018
13 ,11.498 ,1:19.780
14 ,12.210 ,1:19.943
9 ,12.761 ,1:19.692
53 ,14.260 ,1:21.260
28 ,15.376 ,1:21.395
6 ,0,1:16.498
44 ,0.857 ,1:16.361
5 ,2.480 ,1:16.803
7 ,3.483 ,1:17.073
77 ,5.869 ,1:17.529
26 ,6.965 ,1:17.766
27 ,7.586 ,1:17.901
19 ,8.925 ,1:18.195
11 ,9.686 ,1:18.290
33 ,10.435 ,1:18.403
12 ,11.355 ,1:18.657
8 ,11.493 ,1:18.581
22 ,13.157 ,1:18.526
13 ,13.959 ,1:18.959
14 ,14.553 ,1:18.841
9 ,15.432 ,1:19.169
3 ,PIT  ,1:23.701
53 ,18.239 ,1:20.477
28 ,19.851 ,1:20.973
6 ,0,1:16.211
44 ,0.993 ,1:16.347
5 ,2.885 ,1:16.616
7 ,4.023 ,1:16.751
77 ,6.871 ,1:17.213
26 ,8.456 ,1:17.702
27 ,9.120 ,1:17.745
19 ,10.691 ,1:17.977
11 ,11.635 ,1:18.160
33 ,12.128 ,1:17.904
8 ,13.736 ,1:18.454
12 ,13.816 ,1:18.672
22 ,15.359 ,1:18.413
13 ,16.889 ,1:19.141
14 ,17.006 ,1:18.664
9 ,17.825 ,1:18.604
53 ,22.653 ,1:20.625
28 ,24.375 ,1:20.735
3 ,35.805 ,1:34.647
6 ,0,1:16.080
44 ,1.176 ,1:16.263
5 ,3.444 ,1:16.639
7 ,4.828 ,1:16.885
77 ,7.875 ,1:17.084
26 ,9.838 ,1:17.462
27 ,10.729 ,1:17.689
19 ,12.577 ,1:17.966
11 ,13.670 ,1:18.115
33 ,14.014 ,1:17.966
8 ,15.112 ,1:17.456
12 ,16.740 ,1:19.004
22 ,18.055 ,1:18.776
14 ,19.389 ,1:18.463
13 ,20.402 ,1:19.593
9 ,20.773 ,1:19.028
53 ,27.070 ,1:20.497
28 ,29.043 ,1:20.748
3 ,37.475 ,1:17.750
6 ,0,1:16.226
44 ,1.259 ,1:16.309
5 ,3.822 ,1:16.604
7 ,5.353 ,1:16.751
77 ,8.938 ,1:17.289
26 ,11.269 ,1:17.657
27 ,12.108 ,1:17.605
19 ,14.308 ,1:17.957
11 ,15.419 ,1:17.975
33 ,15.814 ,1:18.026
8 ,16.861 ,1:17.975
12 ,19.088 ,1:18.574
22 ,20.161 ,1:18.332
14 ,21.598 ,1:18.435
13 ,22.645 ,1:18.469
9 ,23.220 ,1:18.673
53 ,31.527 ,1:20.683
28 ,33.384 ,1:20.567
3 ,39.103 ,1:17.854
6 ,0,1:16.516
44 ,1.391 ,1:16.648
5 ,4.026 ,1:16.720
7 ,6.089 ,1:17.252
77 ,9.575 ,1:17.153
26 ,12.482 ,1:17.729
27 ,13.348 ,1:17.756
19 ,15.669 ,1:17.877
11 ,16.996 ,1:18.093
33 ,17.680 ,1:18.382
8 ,18.203 ,1:17.858
12 ,20.916 ,1:18.344
22 ,22.317 ,1:18.672
14 ,23.594 ,1:18.512
13 ,24.523 ,1:18.394
9 ,25.288 ,1:18.584
53 ,35.560 ,1:20.549
28 ,37.412 ,1:20.544
3 ,40.576 ,1:17.989
6 ,0,1:16.295
44 ,1.661 ,1:16.565
5 ,4.346 ,1:16.615
7 ,6.744 ,1:16.950
77 ,10.477 ,1:17.197
26 ,13.743 ,1:17.556
27 ,14.775 ,1:17.722
19 ,17.253 ,1:17.879
11 ,18.485 ,1:17.784
33 ,19.352 ,1:17.967
8 ,19.864 ,1:17.956
12 ,22.774 ,1:18.153
22 ,24.579 ,1:18.557
14 ,26.002 ,1:18.703
13 ,26.933 ,1:18.705
9 ,27.533 ,1:18.540
53 ,39.759 ,1:20.494
28 ,41.625 ,1:20.508
3 ,42.511 ,1:18.230
6 ,0,1:16.712
44 ,1.579 ,1:16.630
5 ,4.231 ,1:16.597
7 ,7.283 ,1:17.251
77 ,11.006 ,1:17.241
26 ,14.709 ,1:17.678
19 ,18.376 ,1:17.835
11 ,19.957 ,1:18.184
33 ,20.671 ,1:18.031
27 ,PIT  ,1:22.725
8 ,21.208 ,1:18.056
12 ,24.429 ,1:18.367
22 ,26.476 ,1:18.609
14 ,27.956 ,1:18.666
13 ,28.953 ,1:18.732
9 ,29.667 ,1:18.846
53 ,43.615 ,1:20.568
3 ,45.842 ,1:20.043
28 ,45.952 ,1:21.039
6 ,0,1:16.817
44 ,1.486 ,1:16.724
5 ,4.366 ,1:16.952
7 ,7.842 ,1:17.376
77 ,11.625 ,1:17.436
26 ,PIT  ,1:22.574
33 ,21.965 ,1:18.111
19 ,PIT  ,1:22.419
11 ,PIT  ,1:22.640
12 ,25.854 ,1:18.242
8 ,PIT  ,1:23.307
22 ,28.294 ,1:18.635
14 ,29.593 ,1:18.454
13 ,30.692 ,1:18.556
9 ,31.440 ,1:18.590
27 ,38.437 ,1:34.466
3 ,47.544 ,1:18.519
53 ,47.674 ,1:20.876
28 ,50.356 ,1:21.221
6 ,0,1:16.588
44 ,1.619 ,1:16.721
5 ,4.519 ,1:16.741
7 ,8.490 ,1:17.236
77 ,PIT  ,1:22.501
12 ,27.311 ,1:18.045
33 ,PIT  ,1:22.631
22 ,30.153 ,1:18.447
14 ,31.913 ,1:18.908
13 ,32.919 ,1:18.815
9 ,33.615 ,1:18.763
27 ,38.981 ,1:17.132
26 ,39.666 ,1:35.788
19 ,42.113 ,1:34.723
11 ,44.286 ,1:35.094
8 ,46.592 ,1:35.482
3 ,49.296 ,1:18.340
53 ,52.344 ,1:21.258
28 ,54.191 ,1:20.423
6 ,0,1:16.525
44 ,1.598 ,1:16.504
5 ,4.900 ,1:16.906
7 ,PIT  ,1:22.395
12 ,28.573 ,1:17.787
