NAME,Stint 1,Stint 2,Stint 3
Lewis Hamilton,Soft (26),Medium (27),
Sebastian Vettel,Soft (25),Medium (28),
Felipe Massa,Soft (19),Medium (34),
Valtteri Bottas,Soft (22),Medium (31),
Kimi Raikkonen,Soft (28),Medium (25),
Sergio Perez,Soft (23),Medium (30),
Nico Hulkenberg,Soft (18),Medium (34),
Daniel Ricciardo,Medium (30),Soft (22),
Marcus Ericsson,Soft (20),Medium (32),
Daniil Kvyat,Medium (27),Soft (25),
Carlos Sainz Jnr,Medium (10),Soft (20),Soft (22)
Max Verstappen,Soft (19),Medium (14),Soft (19)
Felipe Nasr,Soft (1),Medium (23),Medium (28)
Jenson Button,Soft (25),Medium (27),
Will Stevens,Soft (26),Medium (25),
Roberto Merhi,Soft (27),Medium (24),
Nico Rosberg,Soft (18),Medium (32),
Fernando Alonso,Medium (28),Soft (19),
Romain Grosjean,Soft (1),,
Pastor Maldonado,Soft (1),,
