NAME,Stint 1,Stint 2,Stint 3,Stint 4
Sebastian Vettel,Super (13),Super (24),Soft (24),
Daniel Ricciardo,Super (13),Super (24),Soft (24),
Kimi Raikkonen,Super (13),Super (24),Soft (24),
Nico Rosberg,Super (13),Soft (24),Soft (24),
Valtteri Bottas,Super (13),Super (24),Soft (24),
Daniil Kvyat,Super (12),Super (21),Soft (28),
Sergio Perez,Super (13),Soft (21),Soft (27),
Max Verstappen,Super (12),Soft (24),Super (25),
Carlos Sainz Jnr,Super (10),Soft (18),Super (9),Super (24)
Felipe Nasr,Super (13),Soft (21),Soft (27),
Marcus Ericsson,Super (10),Soft (18),Super (8),Soft (25)
Pastor Maldonado,Super (10),Super (17),Soft (27),Super (7)
Romain Grosjean,Super (9),Soft (17),Soft (33),
Alexander Rossi,Super (13),Soft (23),Super (23),
Will Stevens,Super (14),Soft (23),Super (22),
Jenson Button,Super (13),Soft (24),Soft (4),Super (11)
Fernando Alonso,Super (10),Soft (23),,
Lewis Hamilton,Super (13),Soft (19),,
Felipe Massa,Super (12),Super (2),Soft (15),Soft (1)
Nico Hulkenberg,Super (11),Soft (1),,
