NAME,Stint 1,Stint 2,Stint 3,Stint 4
Lewis Hamilton,Medium (16),Medium (15),Hard (22),
Nico Rosberg,Medium (15),Hard (14),Hard (24),
Sebastian Vettel,Medium (13),Hard (17),Hard (23),
Kimi Raikkonen,Medium (14),Hard (14),Hard (25),
Valtteri Bottas,Medium (11),Medium (18),Hard (24),
Nico Hulkenberg,Medium (10),Hard (21),Hard (22),
Romain Grosjean,Medium (11),Medium (22),Hard (20),
Pastor Maldonado,Medium (12),Medium (24),Hard (17),
Max Verstappen,Medium (9),Hard (21),Medium (23),
Carlos Sainz Jnr,Medium (14),Hard (13),Hard (25),
Fernando Alonso,Medium (9),Medium (19),Hard (24),
Sergio Perez,Medium (1),Hard (17),Hard (18),Hard (16)
Daniil Kvyat,Medium (8),Hard (12),Medium (14),Hard (18)
Marcus Ericsson,Medium (13),Medium (13),Hard (26),
Daniel Ricciardo,Medium (1),Hard (23),Hard (28),
Jenson Button,Hard (10),Medium (17),Medium (25),
Felipe Massa,Medium (1),Hard (15),Medium (18),Medium (17)
Alexander Rossi,Medium (22),Hard (11),Medium (18),
Will Stevens,Medium (21),Hard (11),Medium (10),Medium (8)
Felipe Nasr,Medium (10),Hard (20),Medium (19),
