NAME,Stint 1,Stint 2,Stint 3
Lewis Hamilton,Super (32),Soft (21),
Sebastian Vettel,Super (30),Soft (23),
Sergio Perez,Super (12),Soft (41),
Felipe Massa,Soft (30),Super (23),
Daniil Kvyat,Super (33),Soft (20),
Felipe Nasr,Super (34),Soft (19),
Pastor Maldonado,Soft (30),Super (23),
Kimi Raikkonen,Super (31),Soft (22),
Jenson Button,Super (12),Soft (41),
Max Verstappen,Super (1),Soft (23),Super (29)
Fernando Alonso,Soft (13),Super (40),
Valtteri Bottas,Super (26),Soft (26),
Roberto Merhi,Super (13),Soft (39),
Will Stevens,Super (14),Soft (3),Super (34)
Daniel Ricciardo,Super (12),Soft (35),
Carlos Sainz Jnr,Super (12),Soft (33),
Romain Grosjean,Super (1),Soft (10),
Nico Rosberg,Super (7),,
Nico Hulkenberg,Super,,
Marcus Ericsson,Soft,,
