NAME,Stint 1,Stint 2,Stint 3,Stint 4,Stint 5,Stint 6
Lewis Hamilton,Intermediate (18),Soft (25),Soft (13),,,
Nico Rosberg,Intermediate (19),Soft (19),Soft (18),,,
Sebastian Vettel,Intermediate (18),Soft (9),Medium (16),Soft (13),,
Max Verstappen,Intermediate (18),Soft (10),Soft (28),,,
Sergio Perez,Intermediate (19),Soft (8),Medium (29),,,
Carlos Sainz Jnr,Intermediate (19),Soft (8),Medium (16),Soft (13),,
Jenson Button,Intermediate (17),Soft (10),Soft (17),Soft (12),,
Pastor Maldonado,Intermediate (18),Soft (9),Soft (16),Soft (13),,
Felipe Nasr,Intermediate (2),Soft (1),Intermediate (14),Soft (9),Soft (16),Soft (14)
Daniel Ricciardo,Intermediate (19),Soft (19),Soft (12),Soft (6),,
Fernando Alonso,Intermediate (1),Intermediate (17),Soft (8),Soft (30),,
Alexander Rossi,Intermediate (1),Intermediate (16),Soft (10),Medium (29),,
Daniil Kvyat,Intermediate (19),Soft (19),Medium (3),,,
Nico Hulkenberg,Intermediate (19),Soft (8),Medium (8),,,
Marcus Ericsson,Intermediate (16),Soft (3),Soft (6),,,
Kimi Raikkonen,Intermediate (19),Soft (1),Soft (5),,,
Felipe Massa,Intermediate (18),Soft (5),,,,
Romain Grosjean,Intermediate (1),Intermediate (8),Soft (1),,,
Valtteri Bottas,Intermediate (1),Soft (3),Intermediate (1),,,
Will Stevens,Intermediate (1),,,,,
