NAME,Stint 1,Stint 2,Stint 3,Stint 4
Nico Rosberg,Soft (26),Medium (20),Medium (25),
Lewis Hamilton,Soft (28),Medium (20),Medium (23),
Valtteri Bottas,Soft (8),Medium (45),Medium (18),
Daniil Kvyat,Soft (21),Medium (31),Soft (19),
Daniel Ricciardo,Soft (24),Medium (28),Soft (19),
Felipe Massa,Soft (9),Medium (43),Medium (19),
Nico Hulkenberg,Soft (9),Medium (43),Medium (19),
Sergio Perez,Soft (18),Medium (53),,
Max Verstappen,Soft (25),Medium (27),Soft (19),
Romain Grosjean,Soft (11),Medium (41),Soft (19),
Pastor Maldonado,Soft (10),Medium (42),Soft (19),
Marcus Ericsson,Soft (10),Medium (29),Medium (12),Soft (20)
Carlos Sainz Jnr,Soft (13),Medium (30),Soft (8),Soft (20)
Jenson Button,Medium (30),Soft (17),Soft (24),
Alexander Rossi,Soft (27),Medium (23),Soft (19),
Will Stevens,Soft (26),Medium (24),Soft (19),
Felipe Nasr,Soft (12),Medium (32),Medium (7),Soft (6)
Sebastian Vettel,Soft (1),Medium (34),Medium (15),
Kimi Raikkonen,Medium (21),,,
Fernando Alonso,Medium (1),,,
