NAME,Stint 1,Stint 2,Stint 3,Stint 4
Nico Rosberg,Soft (13),Medium (20),Medium (15),Medium (23)
Lewis Hamilton,Soft (14),Medium (20),Medium (15),Medium (22)
Sebastian Vettel,Soft (13),Medium (19),Soft (15),Medium (24)
Kimi Raikkonen,Soft (12),Medium (34),Medium (25),
Valtteri Bottas,Soft (11),Medium (30),Medium (29),
Nico Hulkenberg,Soft (9),Medium (26),Medium (35),
Daniil Kvyat,Soft (10),Medium (29),Medium (31),
Felipe Massa,Soft (10),Medium (28),Medium (17),Medium (15)
Romain Grosjean,Soft (10),Medium (25),Medium (19),Soft (16)
Max Verstappen,Soft (11),Medium (23),Medium (19),Soft (17)
Pastor Maldonado,Medium (25),Soft (19),Medium (26),
Daniel Ricciardo,Soft (3),Medium (25),Medium (24),Soft (18)
Sergio Perez,Soft (10),Medium (23),Medium (18),Soft (19)
Felipe Nasr,Soft (14),Medium (25),Medium (31),
Jenson Button,Soft (12),Medium (19),Soft (20),Soft (19)
Fernando Alonso,Soft (13),Medium (19),Soft (20),Soft (18)
Marcus Ericsson,Soft (12),Medium (20),Medium (21),Soft (16)
Will Stevens,Soft (15),Medium (25),Medium (27),
Alexander Rossi,Soft (14),Medium (27),Medium (26),
