NAME,Stint 1,Stint 2,Stint 3,Stint 4
Nico Rosberg,Super (10),Soft (21),Soft (24),
Lewis Hamilton,Super (11),Soft (30),Soft (14),
Kimi Raikkonen,Super (10),Soft (22),Soft (23),
Sebastian Vettel,Soft (23),Soft (16),Super (16),
Sergio Perez,Super (6),Soft (21),Soft (28),
Daniel Ricciardo,Super (6),Soft (20),Soft (29),
Nico Hulkenberg,Super (7),Soft (17),Soft (31),
Felipe Massa,Super (6),Soft (20),Soft (29),
Romain Grosjean,Soft (23),Soft (20),Super (12),
Daniil Kvyat,Super (5),Soft (20),Soft (30),
Carlos Sainz Jnr,Super (7),Soft (21),Soft (27),
Max Verstappen,Super (8),Soft (12),Soft (18),Super (16)
Jenson Button,Super (8),Soft (19),Soft (27),
Valtteri Bottas,Super (8),Soft (1),Soft (20),Soft (25)
Marcus Ericsson,Soft (15),Soft (26),Super (13),
Felipe Nasr,Super (4),Soft (22),Soft (18),Super (10)
Fernando Alonso,Super (1),Soft (16),Soft (30),Super (6)
Will Stevens,Soft (23),Super (10),Soft (20),
Roberto Merhi,Soft (24),Super (28),,
Pastor Maldonado,,,,
