NAME,Stint 1,Stint 2,Stint 3,Stint 4
Lewis Hamilton,Soft (25),Medium (33),,
Nico Rosberg,Soft (26),Medium (32),,
Sebastian Vettel,Soft (24),Medium (34),,
Felipe Massa,Soft (21),Medium (37),,
Felipe Nasr,Soft (25),Medium (33),,
Daniel Ricciardo,Soft (23),Medium (34),,
Nico Hulkenberg,Soft (21),Medium (23),Soft (13),
Marcus Ericsson,Medium (1),Soft (25),Soft (17),Soft (14)
Carlos Sainz Jnr,Soft (24),Medium (33),,
Sergio Perez,Medium (38),Soft (19),,
Jenson Button,Soft (27),Medium (29),,
Kimi Raikkonen,Soft (16),Soft (24),Medium (0),
Max Verstappen,Medium (32),,,
