NAME,Stint 1,Stint 2,Stint 3,Stint 4,Stint 5
Sebastian Vettel,Medium (17),Medium (20),Hard (19),,
Lewis Hamilton,Medium (4),Hard (20),Medium (14),Hard (18),
Nico Rosberg,Medium (4),Hard (22),Hard (15),Medium (15),
Kimi Raikkonen,Medium (2),Medium (12),Medium (20),Hard (22),
Valtteri Bottas,Medium (4),Medium (21),Medium (15),Hard (16),
Felipe Massa,Medium (4),Medium (20),Medium (14),Hard (18),
Max Verstappen,Medium (4),Hard (16),Hard (20),Medium (16),
Carlos Sainz Jnr,Medium (14),Hard (18),Hard (23),,
Daniil Kvyat,Medium (4),Medium (17),Hard (18),Hard (16),
Daniel Ricciardo,Medium (4),Medium (14),Hard (16),Hard (21),
Romain Grosjean,Medium (15),Medium (11),Medium (8),Hard (21),
Felipe Nasr,Medium (2),Hard (18),Hard (10),Hard (13),Medium (12)
Sergio Perez,Medium (17),Hard (18),Medium (20),,
Nico Hulkenberg,Medium (15),Medium (16),Hard (13),Hard (11),
Roberto Merhi,Medium (5),Hard (17),Medium (20),Medium (11),
Pastor Maldonado,Medium (1),Medium (17),Medium (15),Hard (14),
Jenson Button,Hard (4),Medium (17),Medium (14),Medium (6),
Fernando Alonso,Hard (4),Medium (17),,,
Marcus Ericsson,Medium (3),,,,
