NAME,Stint 1,Stint 2,Stint 3,Stint 4
Lewis Hamilton,Soft (14),Soft (19),Medium (23),
Nico Rosberg,Soft (15),Soft (16),Medium (25),
Sebastian Vettel,Soft (13),Soft (17),Medium (26),
Kimi Raikkonen,Soft (15),Soft (19),Medium (22),
Felipe Massa,Soft (13),Medium (21),Medium (22),
Valtteri Bottas,Soft (14),Medium (21),Medium (21),
Romain Grosjean,Soft (12),Medium (20),Medium (24),
Felipe Nasr,Soft (10),Medium (21),Medium (25),
Daniel Ricciardo,Soft (14),Soft (22),Medium (20),
Marcus Ericsson,Soft (14),Soft (16),Medium (25),
Sergio Perez,Soft (11),Soft (15),Soft (15),Medium (14)
Fernando Alonso,Soft (12),Medium (23),Soft (20),
Jenson Button,Soft (14),Soft (18),Medium (23),
Carlos Sainz Jnr,Medium (19),Soft (20),Soft (16),
Will Stevens,Soft (16),Medium (22),Soft (16),
Roberto Merhi,Soft (17),Medium (23),Soft (14),
Max Verstappen,Soft (12),Medium (20),Medium (20),
Pastor Maldonado,Soft (11),Medium (22),Medium (16),
Daniil Kvyat,Medium (15),,,
Nico Hulkenberg,Soft (9),,,
