NAME,Stint 1,Stint 2,Stint 3,Stint 4
Lewis Hamilton,Soft (15),Soft (18),Medium (24),
Kimi Raikkonen,Soft (17),Medium (23),Soft (17),
Nico Rosberg,Soft (14),Soft (20),Medium (23),
Valtteri Bottas,Soft (14),Soft (19),Medium (24),
Sebastian Vettel,Soft (13),Soft (19),Medium (4),Medium (21)
Daniel Ricciardo,Soft (14),Soft (21),Medium (22),
Romain Grosjean,Soft (12),Soft (19),Medium (26),
Sergio Perez,Soft (17),Soft (20),Medium (19),
Daniil Kvyat,Soft (15),Soft (19),Medium (22),
Felipe Massa,Soft (10),Soft (14),Medium (32),
Fernando Alonso,Soft (13),Medium (22),Soft (21),
Felipe Nasr,Soft (10),Soft (14),Soft (17),Medium (15)
Nico Hulkenberg,Soft (10),Soft (15),Medium (13),Medium (18)
Marcus Ericsson,Soft (11),Soft (14),Soft (12),Medium (19)
Pastor Maldonado,Medium (10),Soft (14),Soft (17),Soft (15)
Will Stevens,Soft (19),Soft (14),Medium (22),
Roberto Merhi,Soft (18),Soft (16),Medium (20),
Max Verstappen,Soft (6),Medium (24),Soft (4),
Carlos Sainz Jnr,Soft (11),Medium (18),,
