NAME,Stint 1,Stint 2,Stint 3,Stint 4
Nico Rosberg,Medium (15),Medium (30),Hard (21),
Lewis Hamilton,Medium (13),Medium (19),Hard (19),Medium (15)
Sebastian Vettel,Medium (14),Medium (26),Hard (26),
Valtteri Bottas,Medium (15),Medium (27),Hard (24),
Kimi Raikkonen,Medium (17),Hard (24),Medium (25),
Felipe Massa,Medium (14),Medium (18),Hard (15),Medium (19)
Daniel Ricciardo,Medium (13),Medium (29),Hard (23),
Romain Grosjean,Medium (15),Medium (25),Hard (25),
Carlos Sainz Jnr,Medium (14),Hard (28),Medium (23),
Daniil Kvyat,Medium (11),Medium (27),Hard (27),
Max Verstappen,Medium (13),Hard (24),Hard (28),
Felipe Nasr,Medium (12),Medium (27),Hard (26),
Sergio Perez,Medium (19),Hard (17),Medium (29),
Marcus Ericsson,Medium (18),Medium (27),Hard (20),
Nico Hulkenberg,Medium (10),Medium (16),Medium (23),Hard (16)
Jenson Button,Medium (11),Hard (16),Medium (17),Medium (21)
Will Stevens,Medium (16),Medium (16),Hard (15),Medium (16)
Roberto Merhi,Medium (17),Medium (13),Hard (19),Medium (13)
Pastor Maldonado,Medium (14),Medium (1),Medium (28),Hard (2)
Fernando Alonso,Medium (21),Hard (5),,
