NAME,Stint 1,Stint 2,Stint 3,Stint 4
Nico Rosberg,Super (37),Soft (41),,
Sebastian Vettel,Super (36),Soft (42),,
Lewis Hamilton,Super (38),Soft (27),Super (13),
Daniil Kvyat,Super (28),Soft (50),,
Daniel Ricciardo,Super (36),Soft (29),Super (13),
Kimi Raikkonen,Super (37),Soft (41),,
Sergio Perez,Super (36),Soft (28),Super (14),
Jenson Button,Super (35),Soft (29),Super (14),
Felipe Nasr,Super (18),Soft (46),Super (14),
Carlos Sainz Jnr,Super (12),Soft (66),,
Nico Hulkenberg,Soft (1),Super (30),Soft (47),
Romain Grosjean,Super (17),Soft (61),,
Marcus Ericsson,Super (14),Soft (24),Super (31),Super (9)
Valtteri Bottas,Soft (14),Super (42),Super (22),
Felipe Massa,Super (1),Soft (38),Super (23),Super (15)
Roberto Merhi,Soft (35),Super (41),,
Will Stevens,Soft (33),Super (43),,
Max Verstappen,Super (29),Soft (17),Super (16),
Fernando Alonso,Soft (32),Super (9),,
Pastor Maldonado,Super (5),,,
