NAME,Stint 1,Stint 2,Stint 3,Stint 4
Nico Rosberg,Super (33),Soft (38),,
Lewis Hamilton,Super (35),Soft (36),,
Felipe Massa,Super (34),Soft (37),,
Sebastian Vettel,Super (36),Soft (35),,
Valtteri Bottas,Super (26),Soft (45),,
Nico Hulkenberg,Super (25),Soft (46),,
Pastor Maldonado,Soft (37),Super (33),,
Max Verstappen,Super (26),Soft (44),,
Sergio Perez,Soft (38),Super (32),,
Daniel Ricciardo,Soft (50),Super (20),,
Felipe Nasr,Super (24),Soft (46),,
Daniil Kvyat,Super (1),Soft (44),Super (25),
Marcus Ericsson,Super (2),Soft (43),Soft (24),
Roberto Merhi,Super (34),Soft (34),,
Romain Grosjean,Super (23),Soft (12),,
Carlos Sainz Jnr,Super (25),Soft (10),,
Jenson Button,Super (3),Soft (3),Soft (2),
Will Stevens,Super (1)
