NAME,Stint 1,Stint 2,Stint 3,Stint 4,Stint 5
Lewis Hamilton,Medium (19),Hard (24),Intermediate (9),,
Nico Rosberg,Medium (20),Hard (24),Intermediate (8),,
Sebastian Vettel,Medium (14),Hard (29),Intermediate (9),,
Felipe Massa,Medium (20),Hard (24),Intermediate (8),,
Valtteri Bottas,Medium (21),Hard (23),Intermediate (8),,
Daniil Kvyat,Medium (18),Hard (26),Intermediate (8),,
Nico Hulkenberg,Medium (19),Hard (25),Intermediate (8),,
Kimi Raikkonen,Medium (13),Hard (25),Intermediate (9),Intermediate (4),
Sergio Perez,Medium (20),Hard (24),Intermediate (7),,
Fernando Alonso,Medium (1),Hard (16),Medium (20),Intermediate (14),
Marcus Ericsson,Medium (23),Hard (14),Intermediate (4),Medium (1),Intermediate (9)
Roberto Merhi,Medium (36),Intermediate (8),Intermediate (5),,
Will Stevens,Medium (36),Intermediate (9),Intermediate (4),,
Carlos Sainz Jnr,Medium (12),Hard (19),,,
Daniel Ricciardo,Medium (11),Hard (9),Hard (1),,
Max Verstappen,Hard (3),,,,
